,8,9,10,11,12
LINC00115,0.00790513833992095,0,0,0,0
NOC2L,0.0592885375494071,0.0232558139534884,0.0505050505050505,0.0384615384615385,0
KLHL17,0.00395256916996047,0.0116279069767442,0,0,0
AL645608.8,0,0.0348837209302326,0.0101010101010101,0,0
HES4,0.102766798418972,0.156976744186047,0.151515151515152,0.25,0
ISG15,0.1699604743083,0.122093023255814,0.141414141414141,0.173076923076923,0
AGRN,0,0.0348837209302326,0.151515151515152,0.25,0
TNFRSF18,0.102766798418972,0.00581395348837209,0,0,0
TNFRSF4,0.0355731225296443,0,0.474747474747475,0,0
SDF4,0.102766798418972,0.0930232558139535,0.424242424242424,0.173076923076923,0
B3GALT6,0.00395256916996047,0.0232558139534884,0.0303030303030303,0.0192307692307692,0
C1QTNF12,0,0,0.0505050505050505,0,0
UBE2J2,0.0316205533596838,0.0406976744186047,0.0404040404040404,0,0
ACAP3,0.00790513833992095,0.0232558139534884,0.0404040404040404,0.0192307692307692,0
PUSL1,0.0158102766798419,0.0174418604651163,0,0,0
INTS11,0.075098814229249,0.0523255813953488,0.0404040404040404,0.0769230769230769,0
CPTP,0.0592885375494071,0.0174418604651163,0.0303030303030303,0.0192307692307692,0
DVL1,0.00395256916996047,0.0174418604651163,0.0707070707070707,0.0192307692307692,0
AURKAIP1,0.150197628458498,0.22093023255814,0.181818181818182,0.269230769230769,0
CCNL2,0.0553359683794466,0.0523255813953488,0.111111111111111,0.134615384615385,0
MRPL20,0.110671936758893,0.151162790697674,0.101010101010101,0.173076923076923,0
ANKRD65,0,0,0.0404040404040404,0,0
VWA1,0,0,0.414141414141414,0.192307692307692,0
ATAD3C,0.00790513833992095,0,0.0101010101010101,0,0
ATAD3B,0.0118577075098814,0.00581395348837209,0.0101010101010101,0.0384615384615385,0
ATAD3A,0.00790513833992095,0,0.0303030303030303,0,0
SSU72,0.158102766798419,0.116279069767442,0.212121212121212,0.115384615384615,0
FNDC10,0,0.0232558139534884,0,0,0
AL691432.2,0.00395256916996047,0.00581395348837209,0,0,0
MIB2,0.0474308300395257,0.0174418604651163,0.0303030303030303,0.115384615384615,0
CDK11B,0.0276679841897233,0.0174418604651163,0.0606060606060606,0.0192307692307692,0
SLC35E2B,0.0197628458498024,0.0174418604651163,0.0202020202020202,0.0192307692307692,0
