,met1,met2
LINC00115,0,0.00472813238770686
NOC2L,0.0604395604395604,0.0354609929078014
KLHL17,0,0.00709219858156028
AL645608.8,0.021978021978022,0.00709219858156028
HES4,0.214285714285714,0.099290780141844
ISG15,0.153846153846154,0.139479905437352
AGRN,0.0604395604395604,0.0543735224586288
TNFRSF18,0.0384615384615385,0.0472813238770686
TNFRSF4,0.115384615384615,0.08274231678487
SDF4,0.208791208791209,0.130023640661939
B3GALT6,0.021978021978022,0.0118203309692671
C1QTNF12,0.010989010989011,0.00709219858156028
UBE2J2,0.0274725274725275,0.033096926713948
ACAP3,0.021978021978022,0.016548463356974
PUSL1,0.00549450549450549,0.0141843971631206
INTS11,0.0604395604395604,0.0591016548463357
CPTP,0.0714285714285714,0.0212765957446809
DVL1,0.021978021978022,0.0189125295508274
AURKAIP1,0.137362637362637,0.196217494089835
CCNL2,0.0549450549450549,0.0732860520094563
MRPL20,0.115384615384615,0.122931442080378
ANKRD65,0.0164835164835165,0.00236406619385343
VWA1,0.142857142857143,0.0591016548463357
ATAD3C,0.00549450549450549,0.00472813238770686
ATAD3B,0.010989010989011,0.0118203309692671
ATAD3A,0.00549450549450549,0.00945626477541371
SSU72,0.192307692307692,0.122931442080378
FNDC10,0.0164835164835165,0.00236406619385343
AL691432.2,0.010989010989011,0
MIB2,0.0274725274725275,0.0449172576832151
CDK11B,0.0549450549450549,0.016548463356974
SLC35E2B,0.0384615384615385,0.00945626477541371
CDK11A,0.043956043956044,0.0472813238770686
NADK,0.0604395604395604,0.0260047281323877
GNB1,0.159340659340659,0.118203309692671
GABRD,0.0549450549450549,0.033096926713948
PRKCZ,0.0494505494505494,0.00709219858156028
FAAP20,0.115384615384615,0.104018912529551
SKI,0.0659340659340659,0.0354609929078014
MORN1,0,0.00236406619385343
RER1,0.0769230769230769,0.127659574468085
PEX10,0.0164835164835165,0.016548463356974
PANK4,0.010989010989011,0.00236406619385343
AL139246.5,0.0494505494505494,0.0189125295508274
TNFRSF14-AS1,0.021978021978022,0.00236406619385343
TNFRSF14,0.148351648351648,0.120567375886525
FAM213B,0.0164835164835165,0.00945626477541371
ARHGEF16,0,0.00236406619385343
TPRG1L,0.0164835164835165,0.0212765957446809
WRAP73,0.0604395604395604,0.0283687943262411
TP73,0,0
SMIM1,0,0.0260047281323877
LRRC47,0.021978021978022,0.00945626477541371
CEP104,0.0274725274725275,0.016548463356974
DFFB,0.010989010989011,0.00945626477541371
C1orf174,0.0494505494505494,0.0260047281323877
LINC01346,0,0
NPHP4,0.00549450549450549,0.00236406619385343
KCNAB2,0.0384615384615385,0.0591016548463357
RPL22,2.5,2.69267139479905
ICMT,0.010989010989011,0.016548463356974
GPR153,0,0.00236406619385343
ACOT7,0.0274725274725275,0.0189125295508274
HES2,0,0.00709219858156028
ESPN,0.00549450549450549,0.0189125295508274
TNFRSF25,0.021978021978022,0.0425531914893617
PLEKHG5,0.010989010989011,0
NOL9,0.021978021978022,0.00236406619385343
ZBTB48,0.0164835164835165,0.0236406619385343
KLHL21,0.0164835164835165,0.0212765957446809
PHF13,0.00549450549450549,0.0141843971631206
THAP3,0.0274725274725275,0.0212765957446809
DNAJC11,0.010989010989011,0.0141843971631206
CAMTA1,0.148351648351648,0.153664302600473
VAMP3,0.0879120879120879,0.0709219858156028
PER3,0.00549450549450549,0.00945626477541371
TNFRSF9,0.043956043956044,0.0425531914893617
PARK7,0.401098901098901,0.444444444444444
ERRFI1,0.021978021978022,0.290780141843972
AL034417.2,0,0.00236406619385343
RERE,0.0769230769230769,0.0283687943262411
ENO1,0.395604395604396,0.836879432624113
ENO1-AS1,0.00549450549450549,0.00472813238770686
SLC2A5,0.0164835164835165,0.00472813238770686
GPR157,0.010989010989011,0.00945626477541371
H6PD,0.0164835164835165,0.00945626477541371
SPSB1,0.0549450549450549,0.0449172576832151
SLC25A33,0.0384615384615385,0.0567375886524823
PIK3CD,0.0164835164835165,0.0141843971631206
PIK3CD-AS2,0.010989010989011,0.00236406619385343
CLSTN1,0.0879120879120879,0.066193853427896
CTNNBIP1,0.0164835164835165,0.0472813238770686
LZIC,0.0274725274725275,0.066193853427896
NMNAT1,0.010989010989011,0.00709219858156028
RBP7,0.467032967032967,0.184397163120567
UBE4B,0.0549450549450549,0.033096926713948
KIF1B,0.0549450549450549,0.0141843971631206
PGD,0.104395604395604,0.163120567375887
DFFA,0.043956043956044,0.0307328605200946
PEX14,0.021978021978022,0.0260047281323877
CASZ1,0.0164835164835165,0
C1orf127,0.00549450549450549,0.00236406619385343
TARDBP,0.043956043956044,0.0189125295508274
SRM,0.0824175824175824,0.049645390070922
EXOSC10,0.010989010989011,0.0283687943262411
MTOR,0.021978021978022,0.00945626477541371
UBIAD1,0.0274725274725275,0.0307328605200946
FBXO2,0.00549450549450549,0.0283687943262411
FBXO44,0.010989010989011,0.0520094562647754
FBXO6,0.021978021978022,0.0118203309692671
MAD2L2,0.0879120879120879,0.0898345153664303
AGTRAP,0.0659340659340659,0.104018912529551
MTHFR,0.0384615384615385,0.0189125295508274
CLCN6,0.00549450549450549,0.0118203309692671
NPPA,0.00549450549450549,0.00945626477541371
KIAA2013,0.0659340659340659,0.0378250591016548
PLOD1,0.0549450549450549,0.0803782505910166
MFN2,0.021978021978022,0.0141843971631206
MIIP,0.0494505494505494,0.0543735224586288
TNFRSF1B,0.181318681318681,0.111111111111111
VPS13D,0.0494505494505494,0.0236406619385343
DHRS3,0.0934065934065934,0.0472813238770686
PRDM2,0.0824175824175824,0.0236406619385343
TMEM51,0.021978021978022,0.033096926713948
FHAD1,0,0.00472813238770686
EFHD2,0.131868131868132,0.0945626477541371
CASP9,0.021978021978022,0.0141843971631206
DNAJC16,0.0384615384615385,0.0118203309692671
DDI2,0.032967032967033,0.033096926713948
PLEKHM2,0.0164835164835165,0.0212765957446809
TMEM82,0,0.00709219858156028
FBLIM1,0.0659340659340659,0.016548463356974
UQCRHL,0.0164835164835165,0.0212765957446809
AL450998.2,0.0384615384615385,0.033096926713948
SPEN,0.0934065934065934,0.0614657210401891
ZBTB17,0.032967032967033,0.00945626477541371
FAM131C,0,0.00236406619385343
EPHA2,0.0164835164835165,0.00709219858156028
ARHGEF19,0.021978021978022,0.016548463356974
CPLANE2,0,0.00236406619385343
FBXO42,0.0274725274725275,0.0141843971631206
SZRD1,0.0934065934065934,0.0921985815602837
NECAP2,0.115384615384615,0.099290780141844
NBPF1,0.0274725274725275,0.00472813238770686
CROCC,0.0494505494505494,0.0260047281323877
BX284668.5,0.0549450549450549,0.0425531914893617
BX284668.6,0.0274725274725275,0.0118203309692671
MFAP2,0.0769230769230769,0.0260047281323877
ATP13A2,0.0384615384615385,0.00945626477541371
SDHB,0.0989010989010989,0.0851063829787234
PADI2,0.0274725274725275,0.00472813238770686
RCC2,0.0384615384615385,0.016548463356974
ARHGEF10L,0,0.00709219858156028
IGSF21,0.0384615384615385,0.016548463356974
ALDH4A1,0.00549450549450549,0.00236406619385343
IFFO2,0.00549450549450549,0.00945626477541371
UBR4,0.10989010989011,0.0732860520094563
AL035413.1,0.00549450549450549,0.00709219858156028
EMC1,0.00549450549450549,0.0141843971631206
MRTO4,0.00549450549450549,0.0118203309692671
AKR7A3,0,0.0189125295508274
AKR7A2,0.032967032967033,0.0638297872340425
PQLC2,0,0.0118203309692671
CAPZB,0.318681318681319,0.361702127659574
MINOS1,0.17032967032967,0.182033096926714
NBL1,0.0384615384615385,0
TMCO4,0.00549450549450549,0.00945626477541371
OTUD3,0.010989010989011,0.00236406619385343
Z98257.1,0,0.00472813238770686
CAMK2N1,0,0.0449172576832151
MUL1,0.0164835164835165,0.0189125295508274
CDA,0.159340659340659,0.0898345153664303
PINK1,0.0989010989010989,0.0260047281323877
DDOST,0.164835164835165,0.167848699763593
HP1BP3,0.208791208791209,0.153664302600473
EIF4G3,0.0604395604395604,0.0307328605200946
ECE1,0.214285714285714,0.049645390070922
ALPL,0.0494505494505494,0.00472813238770686
RAP1GAP,0.00549450549450549,0.0212765957446809
USP48,0.0769230769230769,0.0425531914893617
HSPG2,0.840659340659341,0.24113475177305
CDC42,0.318681318681319,0.371158392434988
ZBTB40,0.0164835164835165,0.0118203309692671
C1QA,0.912087912087912,2.05437352245863
C1QC,0.873626373626374,1.44208037825059
C1QB,1,2.00472813238771
EPHB2,0.00549450549450549,0
KDM1A,0.0714285714285714,0.0354609929078014
LUZP1,0.115384615384615,0.0472813238770686
HNRNPR,0.164835164835165,0.108747044917258
ZNF436,0.00549450549450549,0.00945626477541371
TCEA3,0.00549450549450549,0.0212765957446809
E2F2,0.021978021978022,0.0118203309692671
ID3,1.24175824175824,0.829787234042553
RPL11,5.96703296703297,7.46335697399527
ELOA,0.0549450549450549,0.0118203309692671
ELOA-AS1,0,0.0189125295508274
PITHD1,0.120879120879121,0.0591016548463357
LYPLA2,0.0604395604395604,0.0638297872340425
GALE,0.0164835164835165,0.0283687943262411
HMGCL,0.032967032967033,0.0638297872340425
FUCA1,0.0824175824175824,0.0543735224586288
PNRC2,0.131868131868132,0.106382978723404
SRSF10,0.247252747252747,0.182033096926714
STPG1,0.0164835164835165,0.0189125295508274
NIPAL3,0.0384615384615385,0.0141843971631206
RCAN3,0.032967032967033,0.0543735224586288
SRRM1,0.263736263736264,0.224586288416076
CLIC4,0.10989010989011,0.0803782505910166
RUNX3,0.115384615384615,0.0543735224586288
SYF2,0.142857142857143,0.184397163120567
RSRP1,0.340659340659341,0.293144208037825
TMEM50A,0.335164835164835,0.340425531914894
MACO1,0.043956043956044,0.0307328605200946
LDLRAP1,0.0164835164835165,0.0236406619385343
MAN1C1,0,0.0141843971631206
SELENON,0.0989010989010989,0.0236406619385343
MTFR1L,0.0384615384615385,0.0260047281323877
STMN1,0.417582417582418,0.470449172576832
PAFAH2,0.021978021978022,0.00945626477541371
SLC30A2,0,0.00236406619385343
PDIK1L,0.00549450549450549,0.0141843971631206
FAM110D,0.0549450549450549,0.00236406619385343
ZNF593,0.0934065934065934,0.0543735224586288
SH3BGRL3,1.56043956043956,2.53427895981087
