,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
LINC00115,0,0,0,0.00909090909090909
NOC2L,0.0336134453781513,0.0295566502463054,0.111111111111111,0.0409090909090909
KLHL17,0,0.0147783251231527,0,0
AL645608.8,0.0252100840336134,0.00492610837438424,0.0158730158730159,0.00909090909090909
HES4,0.210084033613445,0.0492610837438424,0.222222222222222,0.145454545454545
ISG15,0.134453781512605,0.103448275862069,0.19047619047619,0.172727272727273
AGRN,0.0588235294117647,0.0394088669950739,0.0634920634920635,0.0681818181818182
TNFRSF18,0.00840336134453781,0.0394088669950739,0.0952380952380952,0.0545454545454545
TNFRSF4,0.092436974789916,0.0788177339901478,0.158730158730159,0.0863636363636364
SDF4,0.168067226890756,0.113300492610837,0.285714285714286,0.145454545454545
B3GALT6,0.0252100840336134,0.00985221674876847,0.0158730158730159,0.0136363636363636
C1QTNF12,0.00840336134453781,0.00985221674876847,0.0158730158730159,0.00454545454545455
UBE2J2,0.0420168067226891,0.0394088669950739,0,0.0272727272727273
ACAP3,0.0252100840336134,0.00985221674876847,0.0158730158730159,0.0227272727272727
PUSL1,0,0.00492610837438424,0.0158730158730159,0.0227272727272727
INTS11,0.0756302521008403,0.0295566502463054,0.0317460317460317,0.0863636363636364
CPTP,0.0756302521008403,0.0295566502463054,0.0634920634920635,0.0136363636363636
DVL1,0.0336134453781513,0.0246305418719212,0,0.0136363636363636
AURKAIP1,0.126050420168067,0.137931034482759,0.158730158730159,0.25
CCNL2,0.0336134453781513,0.0689655172413793,0.0952380952380952,0.0772727272727273
MRPL20,0.092436974789916,0.103448275862069,0.158730158730159,0.140909090909091
ANKRD65,0.00840336134453781,0,0.0317460317460317,0.00454545454545455
VWA1,0.134453781512605,0.0443349753694581,0.158730158730159,0.0727272727272727
ATAD3C,0,0.00492610837438424,0.0158730158730159,0.00454545454545455
ATAD3B,0,0.00985221674876847,0.0317460317460317,0.0136363636363636
ATAD3A,0.00840336134453781,0.00985221674876847,0,0.00909090909090909
SSU72,0.168067226890756,0.0738916256157636,0.238095238095238,0.168181818181818
FNDC10,0.00840336134453781,0,0.0317460317460317,0.00454545454545455
AL691432.2,0.0168067226890756,0,0,0
MIB2,0.0336134453781513,0.0295566502463054,0.0158730158730159,0.0590909090909091
CDK11B,0.0588235294117647,0.0246305418719212,0.0476190476190476,0.00909090909090909
SLC35E2B,0.0336134453781513,0.00492610837438424,0.0476190476190476,0.0136363636363636
CDK11A,0.0252100840336134,0.0689655172413793,0.0793650793650794,0.0272727272727273
NADK,0.0504201680672269,0.0147783251231527,0.0793650793650794,0.0363636363636364
GNB1,0.126050420168067,0.133004926108374,0.222222222222222,0.104545454545455
GABRD,0.0672268907563025,0.0344827586206897,0.0317460317460318,0.0318181818181818
PRKCZ,0.0336134453781513,0.00492610837438424,0.0793650793650794,0.00909090909090909
FAAP20,0.134453781512605,0.0935960591133005,0.0793650793650794,0.113636363636364
SKI,0.0336134453781513,0.0295566502463054,0.126984126984127,0.0409090909090909
MORN1,0,0.00492610837438424,0,0
RER1,0.0840336134453782,0.113300492610837,0.0634920634920635,0.140909090909091
PEX10,0.00840336134453781,0.00492610837438424,0.0317460317460317,0.0272727272727273
PANK4,0.00840336134453781,0,0.0158730158730159,0.00454545454545455
AL139246.5,0.0588235294117647,0.00985221674876847,0.0317460317460317,0.0272727272727273
TNFRSF14-AS1,0.0252100840336134,0,0.0158730158730159,0.00454545454545455
TNFRSF14,0.100840336134454,0.152709359605911,0.238095238095238,0.0909090909090909
FAM213B,0.00840336134453781,0.0147783251231527,0.0317460317460317,0.00454545454545455
ARHGEF16,0,0.00492610837438424,0,0
TPRG1L,0.00840336134453781,0.0147783251231527,0.0317460317460317,0.0272727272727273
WRAP73,0.0588235294117647,0.0197044334975369,0.0634920634920635,0.0363636363636364
TP73,0,0,0,0
SMIM1,0,0.0344827586206897,0,0.0181818181818182
LRRC47,0.0252100840336134,0.00985221674876847,0.0158730158730159,0.00909090909090909
CEP104,0.0252100840336134,0.0246305418719212,0.0317460317460317,0.00909090909090909
DFFB,0,0.00985221674876847,0.0317460317460317,0.00909090909090909
C1orf174,0.0420168067226891,0.0147783251231527,0.0634920634920635,0.0363636363636364
LINC01346,0,0,0,0
NPHP4,0,0,0.0158730158730159,0.00454545454545455
KCNAB2,0.0504201680672269,0.0541871921182266,0.0158730158730159,0.0636363636363636
RPL22,2.40336134453782,2.64039408866995,2.68253968253968,2.74090909090909
ICMT,0,0.00985221674876847,0.0317460317460317,0.0227272727272727
GPR153,0,0.00492610837438424,0,0
ACOT7,0.00840336134453781,0.0197044334975369,0.0634920634920635,0.0181818181818182
HES2,0,0.0147783251231527,0,0
ESPN,0.00840336134453781,0.0197044334975369,0,0.0181818181818182
TNFRSF25,0.0168067226890756,0.0197044334975369,0.0317460317460317,0.0636363636363636
PLEKHG5,0.0168067226890756,0,0,0
NOL9,0.0168067226890756,0.00492610837438424,0.0317460317460317,0
ZBTB48,0.0252100840336134,0.0246305418719212,0,0.0227272727272727
KLHL21,0.0168067226890756,0.0197044334975369,0.0158730158730159,0.0227272727272727
PHF13,0.00840336134453781,0.0147783251231527,0,0.0136363636363636
THAP3,0.0168067226890756,0.0246305418719212,0.0476190476190476,0.0181818181818182
DNAJC11,0.00840336134453781,0.0197044334975369,0.0158730158730159,0.00909090909090909
CAMTA1,0.126050420168067,0.177339901477833,0.19047619047619,0.131818181818182
VAMP3,0.0840336134453782,0.0541871921182266,0.0952380952380952,0.0863636363636364
PER3,0,0.00492610837438424,0.0158730158730159,0.0136363636363636
TNFRSF9,0.0252100840336134,0.0443349753694581,0.0793650793650794,0.0409090909090909
PARK7,0.38655462184874,0.334975369458128,0.428571428571429,0.545454545454545
ERRFI1,0.0252100840336134,0.29064039408867,0.0158730158730159,0.290909090909091
AL034417.2,0,0,0,0.00454545454545455
RERE,0.0588235294117647,0.0295566502463054,0.111111111111111,0.0272727272727273
ENO1,0.378151260504202,0.901477832512315,0.428571428571429,0.777272727272727
ENO1-AS1,0,0.00492610837438424,0.0158730158730159,0.00454545454545455
SLC2A5,0.0252100840336134,0.00985221674876847,0,0
GPR157,0.00840336134453781,0.0147783251231527,0.0158730158730159,0.00454545454545455
H6PD,0.00840336134453781,0.0147783251231527,0.0317460317460317,0.00454545454545455
SPSB1,0.0420168067226891,0.0344827586206897,0.0793650793650794,0.0545454545454545
SLC25A33,0.0336134453781513,0.0443349753694581,0.0476190476190476,0.0681818181818182
