,met1,met2
AL669831.5,0.0883458646616541,0.0625196355639334
FAM87B,0.006265664160401,0.0040841972981464
LINC00115,0.0620300751879699,0.0615771284951304
FAM41C,0.0219298245614035,0.0138234370091109
AL645608.7,0.018796992481203,0.00314169022934339
AL645608.3,0.0131578947368421,0.00314169022934339
AL645608.1,0.0068922305764411,0
SAMD11,0.0557644110275689,0.0109959158027019
NOC2L,0.4968671679198,0.290292177191329
KLHL17,0.0338345864661654,0.0172792962613886
AL645608.8,0.006265664160401,0.00754005655042413
HES4,0.166040100250627,0.175306314797361
ISG15,0.081453634085213,0.0841972981464028
AL645608.2,0.0006265664160401,0.00125667609173735
AGRN,0.0018796992481203,0.0320452403393025
C1orf159,0.0482456140350877,0.0292177191328935
LINC01342,0.0018796992481203,0.00125667609173735
AL390719.2,0.0213032581453634,0.00879673264216148
TTLL10-AS1,0.0037593984962406,0.00219918316054037
TTLL10,0.0031328320802005,0.0100534087338988
TNFRSF18,0.0131578947368421,0.022306000628338
SDF4,0.369674185463659,0.537229029217719
B3GALT6,0.0808270676691729,0.0524662268300346
C1QTNF12,0.0006265664160401,0.00282752120640905
UBE2J2,0.277568922305764,0.229971724787936
SCNN1D,0.0112781954887218,0.00754005655042413
ACAP3,0.224310776942356,0.143575243480993
PUSL1,0.119047619047619,0.102419101476594
INTS11,0.432957393483709,0.383286207979893
CPTP,0.0532581453634085,0.0596921143575243
TAS1R3,0.0006265664160401,0.00377002827521206
DVL1,0.110902255639098,0.115614200439837
MXRA8,0.0012531328320802,0.00502670436694942
AURKAIP1,0.887218045112782,0.785422557335847
CCNL2,0.298245614035088,0.224945020420986
MRPL20,0.700501253132832,0.787621740496387
AL391244.3,0.0043859649122807,0.00377002827521206
ANKRD65,0.199248120300752,0.296261388627081
AL391244.2,0.018796992481203,0.00534087338988376
LINC01770,0.0018796992481203,0.00377002827521206
VWA1,0.0281954887218045,0.0471253534401508
ATAD3C,0.0720551378446115,0.0587496072887213
ATAD3B,0.0645363408521303,0.0392711278667923
ATAD3A,0.0983709273182957,0.0345585925227773
TMEM240,0.0175438596491228,0.0144517750549796
SSU72,0.838345864661654,0.775369148601948
AL645728.1,0.0068922305764411,0.00534087338988376
FNDC10,0.0695488721804511,0.040841972981464
AL691432.2,0.197994987468672,0.105874960728872
MIB2,0.136591478696742,0.105560791705938
MMP23B,0.0025062656641604,0.00942507068803016
CDK11B,0.132832080200501,0.0879673264216148
FO704657.1,0.0006265664160401,0.00157084511467169
SLC35E2B,0.194235588972431,0.140747722274584
CDK11A,0.0964912280701754,0.0691171850455545
SLC35E2A,0.0476190476190476,0.0420986490732014
NADK,0.12280701754386,0.117499214577443
GNB1,0.855263157894737,0.823437009110902
AL109917.1,0.0006265664160401,0.00282752120640905
TMEM52,0.0200501253132832,0.0125667609173735
CFAP74,0.0031328320802005,0.00502670436694942
GABRD,0.0037593984962406,0.00659754948162111
PRKCZ,0.0914786967418546,0.057492931196984
PRKCZ-AS1,0.0112781954887218,0.00942507068803016
FAAP20,0.468671679197995,0.544769085768143
SKI,0.0933583959899749,0.0870248193528118
MORN1,0.0369674185463659,0.0301602262016965
RER1,0.231829573934837,0.239082626453032
PEX10,0.117794486215539,0.0882814954445492
PLCH2,0.0018796992481203,0.0267043669494188
PANK4,0.0682957393483709,0.0625196355639334
HES5,0.0031328320802005,0.00596921143575243
AL139246.5,0.138471177944862,0.0606346214263274
TNFRSF14-AS1,0.0244360902255639,0.0706880301602262
TNFRSF14,0.149749373433584,0.189443920829406
AL139246.3,0.0087719298245614,0.0056550424128181
FAM213B,0.104636591478697,0.0970782280867107
MMEL1,0.0181704260651629,0.0515237197612315
TTC34,0.0043859649122807,0.00251335218347471
LINC00982,0.0006265664160401,0.00157084511467169
PRDM16,0.0426065162907268,0.0578071002199183
AL590438.1,0.0043859649122807,0.00816839459629281
ARHGEF16,0.0344611528822055,0.0367577756833176
AL512413.1,0.0018796992481203,0.00157084511467169
MEGF6,0.0050125313283208,0.0100534087338988
AL513320.1,0.0050125313283208,0.00377002827521206
TPRG1L,0.0914786967418546,0.0713163682060949
WRAP73,0.216165413533835,0.198240653471568
TP73,0.140977443609023,0.180647188187245
AL136528.1,0.0588972431077694,0.0505812126924285
AL136528.2,0,0.00125667609173735
SMIM1,0.0670426065162907,0.171850455545083
LRRC47,0.266917293233083,0.175620483820295
AL365330.1,0.0031328320802005,0.00345585925227773
CEP104,0.180451127819549,0.125039271127867
DFFB,0.0532581453634085,0.0298460571787622
C1orf174,0.143483709273183,0.141376060320452
LINC01134,0.0288220551378446,0.0333019164310399
LINC01346,0.139724310776942,0.173421300659755
LINC01345,0.0263157894736842,0.00439836632108074
AL805961.2,0.0056390977443609,0.00439836632108074
LINC01777,0.0012531328320802,0.000628338045868677
AJAP1,0.0388471177944862,0.0263901979264844
AL691497.1,0.0156641604010025,0.00282752120640905
AL139823.1,0.0006265664160401,0.00157084511467169
NPHP4,0.0839598997493734,0.0622054665409991
KCNAB2,0.120300751879699,0.135092679861766
CHD5,0.0031328320802005,0.00439836632108074
RPL22,11.3195488721805,10.5080113100848
AL031847.1,0.0194235588972431,0.0191643103989947
RNF207,0.025062656641604,0.0245051837888784
ICMT,0.143483709273183,0.130694313540685
GPR153,0.0701754385964912,0.0933081998114986
ACOT7,0.285714285714286,0.126295947219604
AL031848.2,0.0112781954887218,0.00471253534401508
HES2,0.0006265664160401,0.000628338045868677
ESPN,0.303884711779449,0.392711278667923
TNFRSF25,0.1234335839599,0.100848256361923
PLEKHG5,0.12781954887218,0.0644046497015394
NOL9,0.114661654135338,0.0669180018850141
TAS1R1,0.0018796992481203,0.000314169022934339
ZBTB48,0.081453634085213,0.0706880301602262
KLHL21,0.0889724310776942,0.0738297203895696
PHF13,0.0795739348370927,0.0838831291234684
THAP3,0.132832080200501,0.139491046182846
DNAJC11,0.117167919799499,0.0901665095821552
CAMTA1-DT,0.0050125313283208,0.000942507068803016
CAMTA1,0.822055137844611,0.953817153628652
AL365194.1,0.152882205513784,0.0537229029217719
AL359881.3,0.0037593984962406,0.000628338045868677
AL359881.1,0.0018796992481203,0.00188501413760603
VAMP3,0.0883458646616541,0.0819981149858624
PER3,0.0206766917293233,0.0138234370091109
PARK7,2.6234335839599,1.41376060320452
AL034417.4,0.0006265664160401,0.00251335218347471
AL034417.3,0.0025062656641604,0.000628338045868677
ERRFI1,0.0520050125313283,0.0229343386742067
AL034417.2,0.0169172932330827,0.00377002827521206
