,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
AL669831.5,0.0860018298261665,0.0597713097713098,0.0934393638170974,0.0667196187450357
FAM87B,0.00548947849954254,0.00363825363825364,0.00795228628230616,0.00476568705321684
LINC00115,0.0594693504117109,0.0613305613305613,0.0675944333996024,0.0619539316918189
FAM41C,0.0173833485818847,0.012993762993763,0.0318091451292246,0.0150913423351867
AL645608.7,0.0164684354986276,0.0025987525987526,0.0238568588469185,0.0039714058776807
AL645608.3,0.010064043915828,0.0051975051975052,0.0198807157057654,0
AL645608.1,0.00548947849954254,0,0.0099403578528827,0
SAMD11,0.0558096980786825,0.00883575883575884,0.0556660039761431,0.0142970611596505
NOC2L,0.495882891125343,0.3004158004158,0.499005964214712,0.274821286735504
KLHL17,0.0375114364135407,0.0150727650727651,0.025844930417495,0.0206513105639396
AL645608.8,0.00731930466605672,0.0103950103950104,0.00397614314115308,0.00317712470214456
HES4,0.171088746569076,0.0722453222453222,0.15506958250497,0.332803812549643
ISG15,0.0722781335773102,0.0722453222453222,0.101391650099404,0.102462271644162
AL645608.2,0.000914913083257091,0.00051975051975052,0,0.00238284352660842
AGRN,0.00182982616651418,0.0311850311850312,0.00198807157057654,0.0333598093725179
C1orf159,0.0430009149130833,0.0254677754677755,0.0596421471172962,0.0349483717235902
LINC01342,0.00274473924977127,0.00103950103950104,0,0.00158856235107228
AL390719.2,0.0219579139981702,0.00727650727650728,0.0198807157057654,0.011119936457506
TTLL10-AS1,0.00365965233302836,0.00103950103950104,0.00397614314115308,0.0039714058776807
TTLL10,0.00365965233302836,0.011954261954262,0.00198807157057654,0.00714853057982526
TNFRSF18,0.0155535224153705,0.0207900207900208,0.00795228628230616,0.0246227164416203
SDF4,0.398902104300091,0.496361746361746,0.306163021868787,0.599682287529786
B3GALT6,0.0750228728270814,0.0332640332640333,0.0934393638170974,0.0818109610802224
C1QTNF12,0.000914913083257091,0.00051975051975052,0,0.00635424940428912
UBE2J2,0.293687099725526,0.201663201663202,0.242544731610338,0.273232724384432
SCNN1D,0.00914913083257091,0.00467775467775468,0.0159045725646123,0.0119142176330421
ACAP3,0.220494053064959,0.132536382536383,0.232604373757455,0.1604447974583
PUSL1,0.119853613906679,0.0899168399168399,0.117296222664016,0.121525019857029
INTS11,0.428179322964318,0.358627858627859,0.443339960238569,0.420969023034154
CPTP,0.0484903934126258,0.0504158004158004,0.0636182902584493,0.073868149324861
TAS1R3,0,0.0025987525987526,0.00198807157057654,0.00555996822875298
DVL1,0.101555352241537,0.108627858627859,0.131212723658052,0.126290706910246
MXRA8,0.00182982616651418,0.00467775467775468,0,0.00555996822875298
AURKAIP1,0.933211344922232,0.698544698544699,0.78727634194831,0.918189038919778
CCNL2,0.27355901189387,0.201143451143451,0.351888667992048,0.26131850675139
MRPL20,0.688929551692589,0.775987525987526,0.725646123260437,0.805401111993646
AL391244.3,0.00548947849954254,0.0025987525987526,0.00198807157057654,0.00555996822875298
ANKRD65,0.214089661482159,0.262474012474012,0.166998011928429,0.347895154884829
AL391244.2,0.0219579139981702,0.0025987525987526,0.0119284294234592,0.00953137410643368
LINC01770,0.00274473924977127,0.0025987525987526,0,0.00555996822875298
VWA1,0.0247026532479414,0.0233887733887734,0.0357852882703777,0.0833995234312947
ATAD3C,0.0686184812442818,0.0639293139293139,0.0795228628230616,0.0508339952343129
ATAD3B,0.060384263494968,0.038981288981289,0.073558648111332,0.039714058776807
ATAD3A,0.102470265324794,0.0228690228690229,0.0894632206759443,0.0524225575853852
TMEM240,0.0137236962488564,0.00987525987525988,0.025844930417495,0.0214455917394758
SSU72,0.860018298261665,0.631496881496882,0.791252485089463,0.995234312946783
AL645728.1,0.00548947849954254,0.0051975051975052,0.0099403578528827,0.00555996822875298
FNDC10,0.070448307410796,0.0369022869022869,0.0675944333996024,0.0468625893566322
AL691432.2,0.197621225983532,0.0774428274428274,0.198807157057654,0.149324861000794
MIB2,0.129917657822507,0.0831600831600832,0.151093439363817,0.139793486894361
MMP23B,0.00182982616651418,0.00831600831600832,0.00397614314115308,0.011119936457506
CDK11B,0.10704483074108,0.0893970893970894,0.188866799204771,0.0857823669579031
FO704657.1,0,0.00103950103950104,0.00198807157057654,0.00238284352660842
SLC35E2B,0.188472095150961,0.1502079002079,0.20675944333996,0.126290706910246
CDK11A,0.0951509606587374,0.0727650727650728,0.099403578528827,0.0635424940428912
SLC35E2A,0.0420860018298262,0.0504158004158004,0.0596421471172962,0.0293884034948372
NADK,0.114364135407136,0.093035343035343,0.141153081510934,0.154884829229547
GNB1,0.859103385178408,0.813929313929314,0.846918489065606,0.837966640190627
AL109917.1,0.000914913083257091,0.00363825363825364,0,0.00158856235107228
TMEM52,0.0192131747483989,0.0103950103950104,0.0218687872763419,0.0158856235107228
CFAP74,0.00457456541628545,0.00571725571725572,0,0.0039714058776807
GABRD,0.00548947849954254,0.00467775467775468,0,0.00953137410643368
PRKCZ,0.0887465690759378,0.0467775467775468,0.0974155069582505,0.073868149324861
PRKCZ-AS1,0.010064043915828,0.0114345114345114,0.0139165009940358,0.00635424940428912
FAAP20,0.466605672461116,0.477650727650728,0.473161033797217,0.647339158061954
SKI,0.0823421774931382,0.0774428274428274,0.117296222664016,0.101667990468626
MORN1,0.040256175663312,0.0332640332640333,0.0298210735586481,0.0254169976171565
RER1,0.22964318389753,0.208419958419958,0.236580516898608,0.28594122319301
PEX10,0.111619396157365,0.0826403326403326,0.131212723658052,0.096902303415409
PLCH2,0.00274473924977127,0.0197505197505198,0,0.0373312152501986
PANK4,0.0658737419945105,0.0582120582120582,0.073558648111332,0.0691024622716442
HES5,0.00274473924977127,0.00051975051975052,0.00397614314115308,0.0142970611596505
AL139246.5,0.14455626715462,0.0457380457380457,0.125248508946322,0.0833995234312947
TNFRSF14-AS1,0.0237877401646844,0.0670478170478171,0.025844930417495,0.0762509928514694
TNFRSF14,0.139066788655078,0.173076923076923,0.172962226640159,0.214455917394758
AL139246.3,0.010064043915828,0.0051975051975052,0.00596421471172962,0.00635424940428912
FAM213B,0.106129917657823,0.0816008316008316,0.101391650099404,0.120730738681493
MMEL1,0.0137236962488564,0.051975051975052,0.0278330019880716,0.0508339952343129
TTC34,0.00457456541628545,0.00311850311850312,0.00397614314115308,0.00158856235107228
LINC00982,0,0.00103950103950104,0.00198807157057654,0.00238284352660842
PRDM16,0.040256175663312,0.0535343035343035,0.047713717693837,0.0643367752184273
AL590438.1,0.00182982616651418,0.00623700623700624,0.0099403578528827,0.011119936457506
ARHGEF16,0.0338517840805123,0.0291060291060291,0.0357852882703777,0.0484511517077045
AL512413.1,0.00182982616651418,0.00207900207900208,0.00198807157057654,0.00079428117553614
MEGF6,0.00365965233302836,0.00831600831600832,0.00795228628230616,0.0127084988085782
AL513320.1,0.00274473924977127,0.00467775467775468,0.0099403578528827,0.00238284352660842
TPRG1L,0.0878316559926807,0.0634095634095634,0.099403578528827,0.0833995234312947
WRAP73,0.204025617566331,0.158004158004158,0.242544731610338,0.259729944400318
TP73,0.145471180237877,0.167879417879418,0.131212723658052,0.200158856235107
AL136528.1,0.0594693504117109,0.0395010395010395,0.0576540755467197,0.0675138999205719
AL136528.2,0,0.00155925155925156,0,0.00079428117553614
SMIM1,0.0722781335773102,0.169438669438669,0.0556660039761431,0.175536139793487
LRRC47,0.279048490393413,0.167879417879418,0.240556660039761,0.187450357426529
AL365330.1,0.00274473924977127,0.00311850311850312,0.00397614314115308,0.0039714058776807
CEP104,0.162854528819762,0.124220374220374,0.218687872763419,0.126290706910246
DFFB,0.0539798719121683,0.0301455301455301,0.0516898608349901,0.0293884034948372
C1orf174,0.121683440073193,0.119022869022869,0.190854870775348,0.175536139793487
LINC01134,0.0228728270814273,0.0369022869022869,0.0417495029821074,0.0277998411437649
LINC01346,0.109789569990851,0.12993762993763,0.204771371769384,0.239872915011914
LINC01345,0.0237877401646844,0.00415800415800416,0.0318091451292246,0.00476568705321684
AL805961.2,0.00457456541628545,0.0025987525987526,0.00795228628230616,0.00714853057982526
LINC01777,0.00182982616651418,0.00103950103950104,0,0
AJAP1,0.030192131747484,0.0181912681912682,0.0576540755467197,0.0389197776012708
AL691497.1,0.0173833485818847,0.00467775467775468,0.0119284294234592,0
AL139823.1,0.000914913083257091,0.00155925155925156,0,0.00158856235107228
NPHP4,0.080512351326624,0.0587318087318087,0.0914512922465209,0.0675138999205719
KCNAB2,0.108874656907594,0.129417879417879,0.145129224652087,0.143764892772041
CHD5,0.00274473924977127,0.00415800415800416,0.00397614314115308,0.00476568705321684
RPL22,11.2259835315645,10.5660083160083,11.5228628230616,10.4193804606831
AL031847.1,0.0128087831655993,0.0171517671517672,0.0337972166998012,0.0222398729150119
RNF207,0.0228728270814273,0.027027027027027,0.0298210735586481,0.0206513105639396
ICMT,0.130832570905764,0.117463617463617,0.170974155069582,0.150913423351867
GPR153,0.0658737419945105,0.0899168399168399,0.0795228628230616,0.0984908657664813
ACOT7,0.258920402561757,0.103430353430353,0.343936381709742,0.161239078633836
AL031848.2,0.00731930466605672,0.0051975051975052,0.0198807157057654,0.0039714058776807
HES2,0.000914913083257091,0.00051975051975052,0,0.00079428117553614
ESPN,0.311070448307411,0.363825363825364,0.288270377733598,0.436854646544877
