,1,2,3,4,5,6,7,8,9,10,11,12
AL669831.5,0.0550595238095238,0.072661217075386,0.0804077010192525,0.0249110320284698,0.0606060606060606,0.102888086642599,0.0436781609195402,0.00790513833992095,0,0,0,0
FAM87B,0.00148809523809524,0.00635785649409628,0.00226500566251416,0.00177935943060498,0.00865800865800866,0.0036101083032491,0.00689655172413793,0,0,0,0,0
LINC00115,0.0327380952380952,0.0653950953678474,0.0690826727066818,0.0124555160142349,0.0562770562770563,0.0469314079422383,0.114942528735632,0.0158102766798419,0,0,0.0192307692307692,0
FAM41C,0.0126488095238095,0.0208900999091735,0.0124575311438279,0.00177935943060498,0.0194805194805195,0.0288808664259928,0.00919540229885057,0,0,0,0,0
AL645608.7,0.00297619047619048,0.00544959128065395,0.0260475651189128,0.00177935943060498,0.00216450216450216,0.00902527075812274,0,0,0,0,0,0
AL645608.3,0.00297619047619048,0,0.0135900339750849,0,0.00216450216450216,0.0162454873646209,0.00689655172413793,0,0,0,0,0
AL645608.1,0,0,0.00566251415628539,0,0,0.0108303249097473,0,0,0,0,0,0
SAMD11,0.0111607142857143,0.0145322434150772,0.0486976217440544,0.0160142348754448,0.0281385281385281,0.0631768953068592,0,0,0,0,0.0769230769230769,0
NOC2L,0.251488095238095,0.313351498637602,0.42242355605889,0.144128113879004,0.341991341991342,0.550541516245487,0.239080459770115,0.110671936758893,0.0348837209302326,0.111111111111111,0.25,0
KLHL17,0.00669642857142857,0.0245231607629428,0.0328425821064553,0.00889679715302491,0.0194805194805195,0.0270758122743682,0.0275862068965517,0.00790513833992095,0.0174418604651163,0.0101010101010101,0.0192307692307692,0
AL645608.8,0.00967261904761905,0.00454132606721163,0.00566251415628539,0.00355871886120996,0,0.0144404332129964,0.00919540229885057,0,0.0581395348837209,0.0303030303030303,0,0
HES4,0.0699404761904762,0.310626702997275,0.107587768969422,0.914590747330961,0.194805194805195,0.247292418772563,0.032183908045977,0.201581027667984,0.302325581395349,0.353535353535354,0.769230769230769,0.0344827586206897
ISG15,0.0691964285714286,0.0999091734786558,0.0453001132502831,0.711743772241993,0.0909090909090909,0.131768953068592,0.0137931034482759,0.320158102766798,0.232558139534884,0.333333333333333,0.538461538461538,0
AGRN,0.021577380952381,0.0354223433242507,0.00226500566251416,0.129893238434164,0.0108225108225108,0.00541516245487365,0.0344827586206896,0,0.0465116279069767,0.252525252525253,0.673076923076923,0
C1orf159,0.0260416666666667,0.0354223433242507,0.028312570781427,0.0160142348754448,0.0714285714285714,0.0649819494584837,0.00229885057471264,0,0.00581395348837209,0.0101010101010101,0.0384615384615385,0
AL390719.2,0.00446428571428571,0.0108991825613079,0.00792751981879955,0.00177935943060498,0.025974025974026,0.0433212996389892,0.0114942528735632,0,0,0,0,0
TTLL10-AS1,0,0.0036330608537693,0.00339750849377123,0,0.00216450216450216,0.00180505415162455,0.00229885057471264,0,0,0,0,0
TTLL10,0.00446428571428571,0.00999091734786558,0.00226500566251416,0,0.00432900432900433,0.00541516245487365,0.0252873563218391,0,0,0,0.0192307692307692,0
TNFRSF18,0.0208333333333333,0.0254314259763851,0.00339750849377123,0,0.0346320346320346,0.0288808664259928,0.00229885057471264,0.185770750988142,0.00581395348837209,0,0,0
TNFRSF4,0,0,0,0.00533807829181495,0,0,0,0.0513833992094862,0,0.787878787878788,0,0
SDF4,0.427827380952381,0.626702997275204,0.305775764439411,0.686832740213523,0.484848484848485,0.490974729241877,0.188505747126437,0.245059288537549,0.302325581395349,0.94949494949495,0.538461538461538,0.0344827586206897
B3GALT6,0.0305059523809524,0.0881017257039055,0.0588901472253681,0.0516014234875445,0.0692640692640693,0.108303249097473,0.0206896551724138,0.00790513833992095,0.0523255813953488,0.0707070707070707,0.0769230769230769,0
UBE2J2,0.19047619047619,0.292461398728429,0.225368063420159,0.185053380782918,0.272727272727273,0.351985559566787,0.0482758620689655,0.0671936758893281,0.0697674418604651,0.0808080808080808,0.115384615384615,0
SCNN1D,0.00148809523809524,0.0118074477747502,0.00453001132502831,0.00177935943060498,0.0216450216450216,0.01985559566787,0.00919540229885057,0,0,0,0.0192307692307692,0
ACAP3,0.0900297619047619,0.158038147138965,0.209513023782559,0.0604982206405694,0.201298701298701,0.21841155234657,0.172413793103448,0.0197628458498024,0.0406976744186047,0.0707070707070707,0.0384615384615385,0
PUSL1,0.0885416666666667,0.130790190735695,0.0962627406568516,0.0373665480427046,0.114718614718615,0.140794223826715,0.0298850574712644,0.0316205533596838,0.0290697674418605,0.0202020202020202,0.0961538461538462,0
INTS11,0.313988095238095,0.444141689373297,0.364665911664779,0.240213523131673,0.357142857142857,0.496389891696751,0.23448275862069,0.154150197628458,0.122093023255814,0.131313131313131,0.25,0
CPTP,0.0416666666666667,0.0808356039963669,0.0396375990939977,0.0444839857651246,0.0865800865800866,0.0722021660649819,0.0229885057471264,0.106719367588933,0.0290697674418605,0.0505050505050505,0.0769230769230769,0
DVL1,0.0833333333333333,0.136239782016349,0.109852774631937,0.0658362989323843,0.108225108225108,0.0992779783393502,0.103448275862069,0.0118577075098814,0.0232558139534884,0.131313131313131,0.0576923076923077,0
MXRA8,0.00297619047619048,0.00272479564032698,0.00113250283125708,2.19928825622776,0.00216450216450216,0.00180505415162455,0.00459770114942529,0,0,0.0505050505050505,0,0
AURKAIP1,0.517857142857143,0.966394187102634,0.699886749716874,0.610320284697509,1.04545454545455,0.929602888086643,0.158620689655172,0.640316205533597,0.686046511627907,0.535353535353535,0.807692307692308,0.206896551724138
CCNL2,0.135416666666667,0.275204359673025,0.300113250283126,0.211743772241993,0.222943722943723,0.28158844765343,0.264367816091954,0.106719367588933,0.145348837209302,0.202020202020202,0.403846153846154,0.0344827586206897
MRPL20,0.613095238095238,0.90644868301544,0.573046432616082,0.412811387900356,0.681818181818182,0.767148014440433,0.220689655172414,0.383399209486166,0.447674418604651,0.323232323232323,0.538461538461538,0.103448275862069
AL391244.3,0.00297619047619048,0.0072661217075386,0.00226500566251416,0.00177935943060498,0.00865800865800866,0.0108303249097473,0,0,0.00581395348837209,0.0101010101010101,0,0
ANKRD65,0.245535714285714,0.376930063578565,0.215175537938845,0.0302491103202847,0.192640692640693,0.214801444043321,0.128735632183908,0,0.00581395348837209,0.0606060606060606,0,0
AL391244.2,0.00297619047619048,0.0118074477747502,0.0135900339750849,0.00177935943060498,0.00649350649350649,0.0324909747292419,0,0,0,0.0202020202020202,0,0
LINC01770,0.00297619047619048,0.0072661217075386,0,0.00711743772241993,0,0.00541516245487365,0.00229885057471264,0.00395256916996047,0,0.0202020202020202,0,0
VWA1,0.021577380952381,0.0862851952770209,0.0192525481313703,0.153024911032028,0.038961038961039,0.0397111913357401,0.0137931034482759,0.00395256916996047,0,0.818181818181818,0.557692307692308,0
ATAD3C,0.0505952380952381,0.0554041780199818,0.0543601359003398,0.00177935943060498,0.051948051948052,0.0992779783393502,0.0505747126436782,0.0158102766798419,0,0.0202020202020202,0.0192307692307692,0
ATAD3B,0.0275297619047619,0.0490463215258856,0.0566251415628539,0.0249110320284698,0.0562770562770563,0.0685920577617329,0.0367816091954023,0.0197628458498024,0.00581395348837209,0.0303030303030303,0.0769230769230769,0
ATAD3A,0.0208333333333333,0.0526793823796549,0.0554926387315968,0.0320284697508897,0.142857142857143,0.0956678700361011,0.0114942528735632,0.0118577075098814,0,0.0404040404040404,0.0384615384615385,0
TMEM240,0.00520833333333333,0.0263396911898274,0.014722536806342,0.00889679715302491,0.0173160173160173,0.0252707581227437,0.00689655172413793,0,0,0.0101010101010101,0,0
SSU72,0.480654761904762,1.09536784741144,0.706681766704417,0.654804270462633,0.692640692640693,0.866425992779783,0.211494252873563,0.671936758893281,0.47093023255814,0.626262626262626,0.5,0.103448275862069
AL645728.1,0.0037202380952381,0.00635785649409628,0.00226500566251416,0.00711743772241993,0.00865800865800866,0.0144404332129964,0.00229885057471264,0,0.00581395348837209,0,0,0
FNDC10,0.0327380952380952,0.0554041780199818,0.0475651189127973,0.00711743772241993,0.0497835497835498,0.0956678700361011,0.0183908045977011,0.00395256916996047,0.0290697674418605,0,0,0
AL691432.2,0.087797619047619,0.158946412352407,0.154020385050963,0.0266903914590747,0.123376623376623,0.256317689530686,0.032183908045977,0.0118577075098814,0.00581395348837209,0,0,0
MIB2,0.0610119047619048,0.148047229791099,0.122310305775764,0.0925266903914591,0.119047619047619,0.13898916967509,0.0827586206896552,0.0869565217391304,0.0406976744186047,0.0606060606060606,0.211538461538462,0
MMP23B,0.0037202380952381,0.0108991825613079,0.00226500566251416,0.261565836298932,0.00432900432900433,0.0036101083032491,0.0160919540229885,0.0118577075098814,0,0.0202020202020202,0,0
CDK11B,0.072172619047619,0.0862851952770209,0.103057757644394,0.117437722419929,0.16017316017316,0.151624548736462,0.0551724137931034,0.0434782608695652,0.0523255813953488,0.141414141414141,0.0769230769230769,0
SLC35E2B,0.0989583333333333,0.139872842870118,0.175537938844847,0.0569395017793594,0.181818181818182,0.189530685920578,0.179310344827586,0.0395256916996047,0.0523255813953488,0.0606060606060606,0.0769230769230769,0
CDK11A,0.0647321428571429,0.0635785649409628,0.0804077010192525,0.0640569395017794,0.119047619047619,0.0992779783393502,0.0482758620689655,0.138339920948617,0.0348837209302326,0.0606060606060606,0.0576923076923077,0
SLC35E2A,0.0260416666666667,0.0308810172570391,0.0396375990939977,0.0142348754448399,0.0476190476190476,0.0541516245487365,0.0896551724137931,0,0.00581395348837209,0,0,0
NADK,0.0863095238095238,0.152588555858311,0.0996602491506229,0.099644128113879,0.123376623376623,0.160649819494585,0.0689655172413793,0.0355731225296443,0.116279069767442,0.121212121212121,0.0192307692307692,0.0344827586206897
GNB1,0.571428571428571,0.923705722070845,0.688561721404303,0.427046263345196,0.887445887445887,0.891696750902527,0.439080459770115,0.237154150197628,0.482558139534884,0.777777777777778,0.711538461538462,0.0689655172413793
TMEM52,0.0111607142857143,0.0190735694822888,0.0124575311438279,0.00533807829181495,0.0151515151515152,0.0342960288808664,0.00229885057471264,0.00395256916996047,0,0,0.0192307692307692,0
CFAP74,0.00669642857142857,0.00635785649409628,0.00113250283125708,0.00533807829181495,0.00432900432900433,0.0072202166064982,0,0,0,0.0101010101010101,0,0
GABRD,0.00595238095238095,0.0118074477747502,0.00339750849377123,0.0551601423487545,0.00432900432900433,0.00180505415162455,0,0,0,0.424242424242424,0,0
PRKCZ,0.0513392857142857,0.0808356039963669,0.0679501698754247,0.0266903914590747,0.0844155844155844,0.102888086642599,0.00689655172413793,0.0434782608695652,0.0348837209302326,0.0707070707070707,0.0384615384615385,0
PRKCZ-AS1,0.00669642857142857,0.00817438692098093,0.00792751981879955,0,0.0108225108225108,0.0144404332129964,0.0114942528735632,0,0,0,0,0
FAAP20,0.426339285714286,0.678474114441417,0.380520951302378,0.50711743772242,0.523809523809524,0.541516245487365,0.209195402298851,0.260869565217391,0.296511627906977,0.282828282828283,0.538461538461538,0
SKI,0.0610119047619048,0.10172570390554,0.0656851642129105,0.215302491103203,0.132034632034632,0.108303249097473,0.0505747126436782,0.0197628458498024,0.0755813953488372,0.343434343434343,0.153846153846154,0
MORN1,0.0319940476190476,0.0281562216167121,0.0169875424688562,0.00711743772241993,0.0324675324675325,0.0631768953068592,0.0252873563218391,0,0.0116279069767442,0,0.0384615384615385,0
RER1,0.176339285714286,0.288828337874659,0.176670441676104,0.50711743772242,0.307359307359307,0.277978339350181,0.0850574712643678,0.241106719367589,0.290697674418605,0.242424242424242,0.769230769230769,0
PEX10,0.078125,0.10172570390554,0.106455266138165,0.0622775800711744,0.121212121212121,0.124548736462094,0.0275862068965517,0.0197628458498024,0.0232558139534884,0.0808080808080808,0.0961538461538462,0
PANK4,0.0520833333333333,0.0744777475022707,0.0679501698754247,0.0516014234875445,0.0735930735930736,0.0703971119133574,0.0183908045977011,0,0.00581395348837209,0.0404040404040404,0.0576923076923077,0.0344827586206897
HES5,0.000744047619047619,0.0163487738419619,0,0.0373665480427046,0.00432900432900433,0.0108303249097473,0,0,0,0.0505050505050505,0,0
AL139246.5,0.037202380952381,0.0899182561307902,0.072480181200453,0.096085409252669,0.0974025974025974,0.225631768953069,0.032183908045977,0.0237154150197628,0.11046511627907,0.0505050505050505,0.0384615384615385,0
TNFRSF14-AS1,0.0625,0.0799273387829246,0.0181200453001133,0.00355871886120996,0.0757575757575758,0.0324909747292419,0.032183908045977,0.0158102766798419,0.0174418604651163,0.0101010101010101,0.0769230769230769,0
TNFRSF14,0.142113095238095,0.227974568574024,0.123442808607022,0.181494661921708,0.138528138528139,0.17870036101083,0.16551724137931,0.296442687747036,0.302325581395349,0.212121212121212,0.211538461538462,0
AL139246.3,0.00297619047619048,0.00817438692098093,0.0101925254813137,0,0.0108225108225108,0.0126353790613718,0.00229885057471264,0.00395256916996047,0,0,0,0
FAM213B,0.0669642857142857,0.133514986376022,0.0804077010192525,0.0391459074733096,0.101731601731602,0.129963898916967,0.0505747126436782,0.0237154150197628,0.0174418604651163,0.0303030303030303,0.0384615384615385,0
MMEL1,0.0535714285714286,0.0599455040871935,0.0237825594563986,0.00177935943060498,0.0108225108225108,0.0180505415162455,0.0206896551724138,0,0.00581395348837209,0.0101010101010101,0,0
PRDM16,0.0364583333333333,0.072661217075386,0.0396375990939977,0.0177935943060498,0.0476190476190476,0.0505415162454874,0.0758620689655172,0,0,0.0202020202020202,0.0192307692307692,0
ARHGEF16,0.0319940476190476,0.0463215258855586,0.029445073612684,0.00533807829181495,0.0432900432900433,0.0487364620938628,0.00229885057471264,0,0,0,0.0769230769230769,0
MEGF6,0.00446428571428571,0.0145322434150772,0.00339750849377123,0.0355871886120996,0.012987012987013,0.00180505415162455,0.00689655172413793,0,0,0,0.0384615384615385,0
TPRG1L,0.0461309523809524,0.0853769300635786,0.0758776896942242,0.0480427046263345,0.108225108225108,0.111913357400722,0.0459770114942529,0.0197628458498024,0.0465116279069767,0.0404040404040404,0.0769230769230769,0
WRAP73,0.139880952380952,0.281562216167121,0.181200453001132,0.101423487544484,0.203463203463203,0.270758122743682,0.0827586206896552,0.075098814229249,0.0872093023255814,0.0606060606060606,0.115384615384615,0
TP73,0.147321428571429,0.211625794732062,0.117780294450736,0.00177935943060498,0.155844155844156,0.182310469314079,0.114942528735632,0,0,0.0101010101010101,0.0192307692307692,0
AL136528.1,0.0431547619047619,0.0817438692098093,0.0532276330690827,0,0.0346320346320346,0.0685920577617329,0.00689655172413793,0,0,0,0,0.0344827586206897
SMIM1,0.169642857142857,0.190735694822888,0.0566251415628539,0.0231316725978648,0.0865800865800866,0.101083032490975,0.0390804597701149,0,0.0116279069767442,0.0101010101010101,0.192307692307692,0.448275862068966
LRRC47,0.146577380952381,0.20708446866485,0.229898074745187,0.099644128113879,0.233766233766234,0.274368231046931,0.0919540229885057,0.0276679841897233,0.0232558139534884,0.0505050505050505,0.153846153846154,0
CEP104,0.0967261904761905,0.127157129881926,0.148357870894677,0.0782918149466192,0.227272727272727,0.184115523465704,0.0804597701149425,0.0316205533596838,0.0174418604651163,0.101010101010101,0.0769230769230769,0.0344827586206897
DFFB,0.0245535714285714,0.033605812897366,0.0498301245753114,0.0213523131672598,0.0454545454545455,0.0577617328519856,0.0344827586206897,0.0158102766798419,0,0.0202020202020202,0.0192307692307692,0
C1orf174,0.107886904761905,0.170753860127157,0.134767836919592,0.0907473309608541,0.214285714285714,0.13898916967509,0.0482758620689655,0.0869565217391304,0.0465116279069767,0.0606060606060606,0.0961538461538462,0.0344827586206897
LINC01134,0.0305059523809524,0.03905540417802,0.014722536806342,0.00177935943060498,0.0281385281385281,0.0505415162454874,0.0160919540229885,0,0,0,0,0
LINC01346,0.148809523809524,0.264305177111717,0.10079275198188,0.00355871886120996,0.101731601731602,0.211191335740072,0.0183908045977011,0.00395256916996047,0,0,0,0.0344827586206897
LINC01345,0.00446428571428571,0.00635785649409628,0.0260475651189128,0,0.00865800865800866,0.0324909747292419,0,0,0,0,0,0
AL805961.2,0.00223214285714286,0.00817438692098093,0.00113250283125708,0,0.00432900432900433,0.0144404332129964,0,0,0,0,0,0
AJAP1,0.0148809523809524,0.0445049954586739,0.0305775764439411,0.00355871886120996,0.0454545454545455,0.0487364620938628,0.0160919540229885,0,0,0,0,0
AL691497.1,0.00520833333333333,0,0.014722536806342,0,0.00865800865800866,0.0180505415162455,0,0,0,0,0,0
NPHP4,0.0446428571428571,0.0744777475022707,0.0702151755379389,0.00533807829181495,0.0865800865800866,0.0866425992779783,0.0620689655172414,0.00790513833992095,0.00581395348837209,0.0101010101010101,0.0384615384615385,0
KCNAB2,0.0944940476190476,0.151680290644868,0.10872027180068,0.00533807829181495,0.0995670995670996,0.140794223826715,0.144827586206897,0.110671936758893,0.186046511627907,0.0202020202020202,0.0192307692307692,0
RPL22,8.58333333333333,11.5304268846503,11.6534541336353,9.40747330960854,7.59307359307359,10.1985559566787,5.1448275862069,10.2450592885375,7.6453488372093,8.7979797979798,7.03846153846154,3.20689655172414
AL031847.1,0.0148809523809524,0.0272479564032698,0.0158550396375991,0,0.0216450216450216,0.0324909747292419,0.00229885057471264,0,0,0,0.0192307692307692,0
RNF207,0.0223214285714286,0.0254314259763851,0.0237825594563986,0.0124555160142349,0.00432900432900433,0.0306859205776173,0.0367816091954023,0,0,0,0.0576923076923077,0
ICMT,0.101934523809524,0.145322434150772,0.0962627406568516,0.140569395017794,0.188311688311688,0.205776173285199,0.0482758620689655,0.0276679841897233,0.0232558139534884,0.0707070707070707,0.0384615384615385,0.0344827586206897
GPR153,0.0885416666666667,0.109900090826521,0.0611551528878822,0.0249110320284698,0.0692640692640693,0.075812274368231,0.0505747126436782,0.00395256916996047,0.00581395348837209,0,0.0384615384615385,0
ACOT7,0.101934523809524,0.167120799273388,0.198187995469989,0.103202846975089,0.272727272727273,0.339350180505415,0.0183908045977011,0.00790513833992095,0.0523255813953488,0.111111111111111,0.0384615384615385,0.0344827586206897
AL031848.2,0.00297619047619048,0.00544959128065395,0.00566251415628539,0.00711743772241993,0.00432900432900433,0.0216606498194946,0.00919540229885057,0.00395256916996047,0,0,0,0
ESPN,0.358630952380952,0.475022706630336,0.249150622876557,0.00355871886120996,0.283549783549784,0.418772563176895,0.119540229885057,0.0118577075098814,0.0174418604651163,0,0.288461538461538,0
TNFRSF25,0.0453869047619048,0.138056312443233,0.10872027180068,0.00355871886120996,0.12987012987013,0.122743682310469,0.126436781609195,0.118577075098814,0.00581395348837209,0.131313131313131,0.0192307692307692,0
PLEKHG5,0.0543154761904762,0.07811080835604,0.12004530011325,0.00533807829181495,0.0822510822510823,0.133574007220217,0.0413793103448276,0,0.0116279069767442,0.0505050505050505,0.0192307692307692,0
NOL9,0.0543154761904762,0.0617620345140781,0.0781426953567384,0.0355871886120996,0.132034632034632,0.13898916967509,0.0551724137931034,0,0.0174418604651163,0.0606060606060606,0.0576923076923077,0
ZBTB48,0.0617559523809524,0.0890099909173479,0.057757644394111,0.0516014234875445,0.0714285714285714,0.115523465703971,0.0183908045977011,0.0632411067193676,0.0116279069767442,0.0303030303030303,0.115384615384615,0
KLHL21,0.0543154761904762,0.0980926430517711,0.0883352208380521,0.0693950177935943,0.038961038961039,0.0938628158844765,0.0574712643678161,0.0395256916996047,0.0697674418604651,0.0404040404040404,0.0769230769230769,0
PHF13,0.0610119047619048,0.0944595821980018,0.0645526613816535,0.0533807829181495,0.116883116883117,0.0956678700361011,0.0551724137931034,0.0118577075098814,0.00581395348837209,0.0303030303030303,0.0576923076923077,0
THAP3,0.114583333333333,0.150772025431426,0.12797281993205,0.115658362989324,0.203463203463203,0.122743682310469,0.0459770114942529,0.0553359683794466,0.0174418604651163,0.0808080808080808,0.0961538461538462,0
