,met1,met2
AL669831.5,0.0747474747474747,0.0496722138174483
FAM87B,0.00303030303030303,0.0037821482602118
LINC00115,0.05,0.048411497730711
FAM41C,0.0176767676767677,0.0115985879979829
AL645608.7,0.0151515151515152,0.00252143217347453
AL645608.3,0.0106060606060606,0.00201714573877963
AL645608.1,0.00555555555555556,0
SAMD11,0.0454545454545455,0.0113464447806354
NOC2L,0.395959595959596,0.246596066565809
KLHL17,0.0257575757575758,0.0156328794755421
AL645608.8,0.0106060606060606,0.00731215330307615
HES4,0.244949494949495,0.247100353000504
ISG15,0.129292929292929,0.173978819969743
AGRN,0.0181818181818182,0.0499243570347958
C1orf159,0.0414141414141414,0.0252143217347453
AL390719.2,0.0186868686868687,0.0075642965204236
TTLL10-AS1,0.00202020202020202,0.00151285930408472
TTLL10,0.00252525252525253,0.00781643973777105
TNFRSF18,0.0171717171717172,0.0267271810388301
TNFRSF4,0.0166666666666667,0.0153807362581947
SDF4,0.380808080808081,0.499747856782653
B3GALT6,0.0702020202020202,0.051185073121533
UBE2J2,0.242424242424242,0.198184568835098
SCNN1D,0.0095959595959596,0.00680786686838124
ACAP3,0.18030303030303,0.117750882501261
PUSL1,0.0964646464646465,0.086232980332829
INTS11,0.362121212121212,0.322491174987393
CPTP,0.0601010101010101,0.0547150781643974
DVL1,0.096969696969697,0.0950579929399899
MXRA8,0.164646464646465,0.233736762481089
AURKAIP1,0.759090909090909,0.672213817448311
CCNL2,0.257575757575758,0.208522440746344
MRPL20,0.597474747474747,0.617750882501261
AL391244.3,0.00555555555555556,0.00403429147755925
ANKRD65,0.173232323232323,0.221886031265759
AL391244.2,0.0166666666666667,0.00504286434694907
LINC01770,0.00303030303030303,0.00428643469490671
VWA1,0.0606060606060606,0.0665658093797277
ATAD3C,0.0585858585858586,0.0428643469490671
ATAD3B,0.0560606060606061,0.0345436207766011
ATAD3A,0.0742424242424242,0.035047907211296
TMEM240,0.0161616161616162,0.0121028744326778
SSU72,0.727272727272727,0.665153807362582
AL645728.1,0.00656565656565657,0.00479072112960161
FNDC10,0.0545454545454545,0.0335350479072113
AL691432.2,0.157070707070707,0.0882501260716087
MIB2,0.117676767676768,0.097327281896117
MMP23B,0.0121212121212121,0.0398386283408976
CDK11B,0.130808080808081,0.0781643973777105
SLC35E2B,0.162626262626263,0.112960161371659
CDK11A,0.0924242424242424,0.0660615229450328
SLC35E2A,0.0388888888888889,0.0320221886031266
NADK,0.117171717171717,0.104639435199193
GNB1,0.711111111111111,0.650277357539082
TMEM52,0.0161616161616162,0.0118507312153303
CFAP74,0.00303030303030303,0.00529500756429652
GABRD,0.0131313131313131,0.0186585980837115
PRKCZ,0.0777777777777778,0.0514372163388805
PRKCZ-AS1,0.00909090909090909,0.00630358043368633
FAAP20,0.429292929292929,0.478315683308119
SKI,0.0974747474747475,0.0965708522440746
MORN1,0.0292929292929293,0.0252143217347453
RER1,0.232828282828283,0.262985375693394
PEX10,0.1,0.0774079677256682
PANK4,0.0595959595959596,0.0537065052950076
HES5,0.0106060606060606,0.00806858295511851
