,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
AL669831.5,0.0725388601036269,0.0440855521606285,0.0794912559618442,0.0573134328358209
FAM87B,0.00444115470022206,0.00261894369271061,0,0.00537313432835821
LINC00115,0.0481125092524056,0.0423395896988215,0.0540540540540541,0.0567164179104478
FAM41C,0.0140636565507032,0.0100392841553907,0.0254372019077901,0.0137313432835821
AL645608.7,0.0133234641006662,0.00174596246180707,0.0190779014308426,0.00358208955223881
AL645608.3,0.00814211695040711,0.00349192492361414,0.0158982511923688,0
AL645608.1,0.00444115470022206,0,0.00794912559618442,0
SAMD11,0.0436713545521836,0.00872981230903536,0.0492845786963434,0.0149253731343284
NOC2L,0.367875647668394,0.226102138804016,0.456279809220986,0.274626865671642
KLHL17,0.0273871206513694,0.013094718463553,0.0222575516693164,0.0191044776119403
AL645608.8,0.0103626943005181,0.00829332169358359,0.0111287758346582,0.00597014925373134
HES4,0.239822353811991,0.0838061981667394,0.255961844197138,0.47044776119403
ISG15,0.105847520355292,0.126582278481013,0.179650238473768,0.238805970149254
AGRN,0.0140636565507032,0.037538192928852,0.027027027027027,0.066865671641791
C1orf159,0.0340488527017024,0.018769096464426,0.0572337042925278,0.0340298507462687
AL390719.2,0.0185048112509252,0.00567437800087298,0.0190779014308426,0.0101492537313433
TTLL10-AS1,0.00296076980014804,0,0,0.00358208955223881
TTLL10,0.00370096225018505,0.00785683107813182,0,0.00776119402985075
TNFRSF18,0.0133234641006662,0.0205150589262331,0.0254372019077901,0.0352238805970149
TNFRSF4,0.0125832716506292,0.0100392841553907,0.0254372019077901,0.0226865671641791
SDF4,0.364174685418209,0.385421213443911,0.416534181240064,0.656119402985075
B3GALT6,0.0621761658031088,0.0270624181580096,0.0874403815580286,0.0841791044776119
UBE2J2,0.233160621761658,0.156263640331733,0.262321144674086,0.255522388059702
SCNN1D,0.0074019245003701,0.00349192492361414,0.014308426073132,0.0113432835820896
ACAP3,0.168023686158401,0.0995198603230031,0.206677265500795,0.142686567164179
PUSL1,0.0925240562546262,0.067656045395024,0.104928457869634,0.111641791044776
INTS11,0.333826794966691,0.261457878655609,0.422893481717011,0.405970149253731
CPTP,0.0562546262028127,0.0419030990833697,0.068362480127186,0.0722388059701493
DVL1,0.0866025166543301,0.0829332169358359,0.119236883942766,0.111641791044776
MXRA8,0.148778682457439,0.147970318638149,0.19872813990461,0.351044776119403
AURKAIP1,0.714285714285714,0.430379746835443,0.855325914149444,1.00298507462687
