,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CPB1,0,3.45934350351007,0.999,0.436,0
S100A1,0,1.57466311253369,0.982,0.297,0
APOD,0,1.30525979629424,0.999,0.795,0
B2M,0,1.20090427539932,1,0.876,0
RTN1,0,-0.970268203061002,0.015,0.657,0
RPS21,0,-0.971615125621716,1,1,0
TUBB2B,0,-1.51173869756667,0.005,0.836,0
NPW,0,-1.5692843430797,0.762,0.978,0
TAC3,0,-2.02260809523105,0.268,0.941,0
RPL13,4.94065645841247e-323,-0.81836469139,0.999,1,9.21877088575182e-319
RPS27,8.59417803693577e-318,-0.834065786692545,0.999,1,1.60358767991185e-313
GRP,1.53279606044383e-311,1.61187665335332,0.996,0.943,2.86004416918214e-307
AP001136.1,2.1553632469577e-311,1.39174213405136,0.878,0.283,4.02169228249837e-307
TRIT1,1.16683312735807e-305,-1.09834058979714,0.783,0.977,2.17719393233743e-301
HLA-A,6.51963639926575e-293,1.20552403539748,0.999,0.893,1.216498955739e-288
PCSK1N,9.98579426109351e-286,-1.06486879178347,0.901,0.99,1.86324935117744e-281
NENF,7.88506236146516e-283,-0.7841947993462,0.7,0.974,1.47127378602578e-278
TIMP1,4.87709907182841e-260,0.86952311776493,0.99,0.755,9.10017915812463e-256
HLA-C,2.48639429778695e-259,1.31384238331444,0.979,0.674,4.63936312024066e-255
RTBDN,1.16352682476555e-255,0.875923518591688,0.729,0.133,2.17102470233004e-251
HLA-B,2.10049999102573e-255,1.36230992094124,0.971,0.594,3.91932293325491e-251
RPS29,3.62401918044595e-254,-0.734433032330622,0.852,0.982,6.7620573887941e-250
MDK,2.7648429302818e-241,0.921609390978984,0.98,0.715,5.15892042361281e-237
FABP5,4.85133226680472e-234,-0.880642593083575,0.029,0.517,9.05210087663093e-230
SEC61G,1.10143533111155e-229,-0.695598055251371,0.937,0.992,2.05516818432105e-225
UCHL1,8.87130575314493e-225,-0.816820072751725,0.679,0.944,1.65529694047931e-220
HSP90B1,3.37024625470395e-219,0.842744667083556,0.993,0.889,6.2885424866521e-215
S100A14,1.7849928447443e-214,0.745250759285079,0.87,0.376,3.33061814900839e-210
RPS2,7.50871091131697e-214,-0.571784653750171,0.999,1,1.40105036894263e-209
CPA5,1.79549980692628e-203,-0.759178875262759,0.147,0.65,3.35022308974374e-199
FSCN1,3.0784548198324e-202,-0.538137712357098,0.018,0.442,5.74408884832528e-198
RPL37A,7.73783195772005e-191,-0.543002566107238,0.999,1,1.44380206499098e-186
TFF3,7.68127286134438e-187,0.917056858835577,0.998,0.938,1.43324870319825e-182
CHGA,4.03471716157418e-186,0.918609128421512,0.986,0.887,7.52837875178126e-182
SNHG7,9.00246821010476e-186,-0.759949833778716,0.611,0.899,1.67977054332345e-181
PDIA3,4.89034077817389e-178,0.697368611842929,0.963,0.708,9.12488685799467e-174
YBX1,5.52613428773309e-178,-0.574202583421519,0.935,0.989,1.03112139674812e-173
BMP8B,1.29708605287993e-177,-0.829770839268494,0.39,0.758,2.42023286606867e-173
RPS28,4.38382468280286e-177,-0.58776924991815,1,1,8.17977847564185e-173
TAGLN2,9.93073308041941e-173,-0.823485280797864,0.238,0.65,1.85297548547546e-168
SPINT2,2.184579970479e-171,0.591784085443528,0.999,0.976,4.07620776691677e-167
MFSD2A,9.79430039960323e-171,-0.959698647140562,0.087,0.51,1.82751851156197e-166
CHGB,1.0899605595796e-168,0.704871833381856,0.99,0.918,2.03375740811957e-164
S100A4,4.86861751054204e-168,0.837333854030329,0.959,0.668,9.08435341292039e-164
BSG,9.23954063402701e-168,0.65824937945774,0.991,0.9,1.7240058869031e-163
RPL38,1.64481925529369e-164,-0.506095512421412,0.982,0.997,3.0690682484525e-160
RHOA,2.26815058005363e-163,0.616409388321921,0.967,0.761,4.23214216732207e-159
HSPA1A,2.59060299722084e-162,-1.24211002278595,0.862,0.946,4.83380613251437e-158
RAMP1,1.92360818720864e-160,0.702836610957413,0.603,0.148,3.5892605165126e-156
CITED4,5.37537858660266e-160,-0.584966145562801,0.023,0.387,1.00299189047419e-155
CALR,9.83671592647109e-159,0.725888054655871,0.97,0.776,1.83543282472024e-154
EIF4A2,3.51801010426275e-158,0.588891128416095,0.974,0.768,6.56425505354386e-154
RPL3,4.0155939283684e-157,-0.543580128681766,0.998,0.998,7.49269671094261e-153
CD24,8.36726477226915e-156,0.701446087664986,0.979,0.82,1.5612479338577e-151
BCAM,1.00456584297163e-155,0.693643592008065,0.913,0.596,1.87441940640076e-151
MZT2B,4.63521264763357e-152,-0.525458901712437,0.664,0.913,8.64884327921949e-148
RPL15,3.03969736124572e-149,0.522323655483318,1,0.999,5.67177130634838e-145
RPL37,7.84539304518191e-147,-0.491206876073334,1,0.999,1.46387188830049e-142
MT-ND2,6.78783944738775e-144,1.06485985713107,0.996,0.981,1.26654296248808e-139
RPL24,1.58787015673108e-143,0.570779719032223,1,0.995,2.96280692544452e-139
WFDC2,4.32382745774402e-140,0.650955746758216,0.828,0.436,8.06782965340457e-136
RGS7,1.07198225220043e-138,-0.423664421379806,0.021,0.347,2.00021168438077e-134
GNB2,1.14769759352591e-138,-0.49460225686639,0.816,0.958,2.14148893976e-134
RPL29,4.76413748399625e-135,0.558384754203518,1,0.998,8.88940413138861e-131
EVC2,1.21376033157258e-134,-0.551409559152171,0.034,0.367,2.26475540268128e-130
MYCL,3.36469429515872e-131,-0.704539465726149,0.442,0.745,6.27818308533666e-127
TUBA1A,1.28023548393803e-130,-0.598687265946716,0.916,0.985,2.38879138947997e-126
PHF14,1.07708347235151e-127,-0.506659092792297,0.449,0.777,2.00973005106067e-123
AL033527.3,5.01263474529472e-127,-0.665414399498,0.555,0.811,9.35307517124542e-123
CNBP,4.55358589285725e-126,0.486618108503284,0.96,0.752,8.49653591748235e-122
LGALS3BP,1.82856115462078e-124,0.575961075666977,0.871,0.569,3.41191225840692e-120
MARCKSL1,6.57422875906796e-124,-0.511879757455732,0.821,0.956,1.22668534415449e-119
PTMS,1.53063281564251e-123,-0.524607961582472,0.888,0.984,2.85600777070737e-119
CA9,9.2575652913437e-123,0.605874082167559,0.558,0.146,1.72736910771182e-118
RPL14,2.16310811858475e-122,0.540320320171171,1,1,4.03614343846729e-118
DIRAS3,2.76853012735909e-120,-0.578030733609156,0.104,0.47,5.16580036463932e-116
EEF2,1.99342714001034e-119,-0.418553979079019,0.99,0.996,3.71953570054529e-115
PPIB,2.68018817764417e-117,0.638182054037177,0.991,0.936,5.00096312066626e-113
TUBB2A,2.99305202722778e-117,-0.404742157922333,0.023,0.313,5.58473577760431e-113
EPCAM,3.77152370562282e-116,0.494577485343591,0.997,0.968,7.03728608232162e-112
TUBB3,6.21563230450461e-116,-0.392902525198157,0.063,0.397,1.15977483169752e-111
NPC2,5.95936512018279e-115,0.571999475120166,0.495,0.114,1.11195793777491e-110
VAMP8,1.51103735565118e-114,0.386935856686376,0.338,0.021,2.81944460190954e-110
SSR4,2.59327916795209e-112,0.531826236194098,0.996,0.98,4.8387995994818e-108
EEF1A2,2.62159618078132e-112,-0.336667285211587,0.027,0.316,4.89163631371987e-108
CLDN18,1.2034174753137e-111,0.343280017834634,0.26,0,2.24545666718783e-107
CD9,1.32418775151437e-111,0.548786087254015,0.851,0.535,2.47080192555066e-107
TMA7,1.66038589983036e-110,0.433088505886368,0.997,0.973,3.09811405049346e-106
FHIT,7.35192582882401e-110,0.522147440390067,0.473,0.106,1.37179584040027e-105
LRPAP1,3.52762639279257e-109,0.486158512375962,0.846,0.532,6.58219808631165e-105
SELENOW,6.81385410353607e-109,0.548655086081566,0.992,0.93,1.27139703717879e-104
BOD1,1.93170974699935e-107,-0.40957112019782,0.107,0.458,3.60437721692608e-103
RAB13,3.77691881761885e-107,0.475585125704131,0.676,0.296,7.04735282179501e-103
TERF2IP,2.4981546108624e-106,-0.478899522042883,0.383,0.704,4.66130668840815e-102
AC010642.2,1.60247272386122e-105,-0.489311280236219,0.346,0.674,2.99005385545265e-101
CD63,4.26382848273687e-105,0.476158810715743,0.973,0.835,7.95587756593873e-101
PSAP,4.51715339424814e-105,0.445617687245344,0.96,0.791,8.42855651832761e-101
SPINK7,1.35202601283329e-104,-0.315702994087093,0.012,0.255,2.52274533734563e-100
RPS18,1.59298704653819e-104,-0.494563717584598,1,1,2.97235453013562e-100
RPL36,4.4091141424605e-104,-0.396277553188652,1,0.999,8.22696607841705e-100
OR51E1,7.76017731880916e-103,0.575823736383762,0.54,0.175,1.4479714859166e-98
TENT5A,1.18174133988471e-102,0.588716300469882,0.955,0.825,2.20501116609088e-98
CYB5A,5.06708727714851e-102,0.452551022768862,0.989,0.905,9.4546781504314e-98
TSPAN13,5.68949800665154e-101,-0.298108407507712,0.025,0.289,1.06160343306111e-96
GADD45G,3.92637865123361e-100,-0.491936239726743,0.042,0.326,7.3262299253368e-96
PEG10,8.28411934705603e-100,-0.527841291549178,0.235,0.606,1.54573382896718e-95
MIF,1.47508518657702e-99,-0.50221374390747,1,1,2.75236144963406e-95
PDIA6,1.02610963543183e-98,0.537778935769997,0.936,0.751,1.91461796875224e-94
SNHG8,2.09453218428022e-97,-0.450677283862846,0.788,0.927,3.90818760264846e-93
PARK7,3.7479896641966e-97,-0.407701291466594,0.797,0.919,6.99337391442443e-93
HSPA1B,4.4752944251125e-97,-0.907266241393834,0.74,0.833,8.35045186781741e-93
SOX4,3.72406290411467e-96,-0.623137462338179,0.903,0.98,6.94872897278757e-92
SCGB1D1,1.83815407480245e-94,-0.610867470925518,0.159,0.47,3.4298116881739e-90
CNTNAP2,3.05960785076267e-94,-0.488409205764734,0.471,0.731,5.70892228873807e-90
FOS,5.71471758313296e-94,-0.87229441813116,0.473,0.663,1.06630915383678e-89
NDUFB1,2.59624655387259e-93,-0.452503818563233,0.281,0.627,4.84433644487087e-89
GABARAP,2.71482624513768e-93,-0.431821682930402,0.925,0.976,5.0655942908024e-89
GABARAPL2,4.19253077365739e-92,-0.381508874580489,0.764,0.889,7.82284317056732e-88
TMBIM6,2.64296088381e-91,0.42207706074689,0.948,0.785,4.93150071310107e-87
NEAT1,4.2390118390104e-90,0.930987898201169,0.722,0.413,7.9095721904095e-86
GNG2,9.94737638189227e-89,-0.322728120346527,0.059,0.339,1.85608095909728e-84
SNRPF,1.44956316044943e-87,-0.383654741065635,0.821,0.929,2.70473990108259e-83
RPL39,4.79294584988875e-86,-0.419531740811733,0.999,1,8.94315766130742e-82
RPL32,1.14230864167618e-85,0.49571433675281,1,0.999,2.13143369450358e-81
TOMM7,1.46408170775806e-85,-0.36629765965767,0.97,0.991,2.73183005850577e-81
RPSA,2.24802937465891e-85,0.402048785275996,0.999,0.995,4.19459801017607e-81
RPL34,1.58460726536898e-84,-0.382391969543958,1,0.999,2.95671869645198e-80
COX4I1,7.81495118140327e-84,-0.357339758326952,0.966,0.993,1.45819174093804e-79
ATP5F1E,6.25214644417593e-83,-0.391340418827235,0.888,0.959,1.16658800501879e-78
TRIR,1.14173531367082e-82,-0.357525546062653,0.725,0.901,2.13036392177839e-78
DPP7,1.70308820258982e-82,0.419335391993419,0.802,0.519,3.17779227721235e-78
HIST1H1C,1.76902780151355e-82,0.661885956703731,0.497,0.178,3.30082897484413e-78
HIST1H2AC,4.68752584914141e-82,0.573718284663136,0.808,0.531,8.74645448191296e-78
GRN,7.19530869993163e-82,0.434897306259517,0.748,0.457,1.34257265032024e-77
RPS19,1.20590348600775e-81,-0.36853514191177,1,1,2.25009531454186e-77
YWHAH,4.27098439896029e-81,-0.39070244275487,0.124,0.425,7.96922979002e-77
BZW2,7.6294050426253e-81,-0.368450519017208,0.161,0.474,1.42357068690345e-76
MME,2.10939928959556e-80,0.30786085587411,0.289,0.031,3.93592813445636e-76
TCF25,2.42949589988294e-80,-0.369712125035076,0.139,0.453,4.53319639959157e-76
RPL36A,2.66271855890344e-80,-0.372402813661944,0.971,0.989,4.96836655905794e-76
RBP1,2.83370356613224e-80,0.443765054936908,0.93,0.751,5.28740748404616e-76
CENPV,2.89873607588494e-80,-0.393265539989601,0.182,0.498,5.40875164399371e-76
RPL35A,3.45840785547667e-79,0.401254966709138,0.999,0.997,6.45304321753393e-75
HSBP1,1.76430894307571e-78,-0.356905105687985,0.868,0.947,3.29202405688496e-74
S100A13,2.05688414784218e-78,0.408127978284246,0.961,0.813,3.83794013145873e-74
CDC42,2.23794268967958e-78,-0.384543684451913,0.204,0.522,4.17577726467312e-74
PET100,2.96436081933536e-78,-0.406074975663415,0.296,0.605,5.53120085279785e-74
RPLP0,5.3992117943608e-78,-0.380841901586737,1,1,1.00743892870978e-73
SLC25A6,2.54978792877943e-77,-0.369779236190669,0.822,0.932,4.75764929630953e-73
PON3,5.60349092048494e-77,0.421979309256666,0.669,0.352,1.04555537085329e-72
PTOV1,1.43841642639678e-76,-0.364492741329366,0.477,0.748,2.68394121001375e-72
MRPS24,1.70165200252956e-76,-0.311986848896793,0.11,0.394,3.17511247151991e-72
MYLIP,1.96934802385024e-76,-0.458573145329063,0.107,0.382,3.67460647770217e-72
HSPA6,4.15679675211702e-76,-1.06326198881804,0.386,0.547,7.75616705977515e-72
RAC1,5.4605675541512e-76,-0.34536825570638,0.899,0.973,1.01888729992907e-71
OS9,8.64102643517029e-76,0.391014011058555,0.691,0.39,1.61232912253843e-71
IGFBP5,7.25273937665013e-75,0.506084233396924,0.791,0.522,1.35328864028915e-70
SLIRP,8.42283321645524e-75,-0.376238143410585,0.574,0.77,1.57161644985838e-70
ODC1,1.07191762212124e-74,-0.352873190666306,0.143,0.447,2.00009109111602e-70
KHDRBS1,3.19745565690037e-74,-0.381063147827698,0.463,0.705,5.96613251021039e-70
SPCS1,3.66192074210029e-74,0.378050495880373,0.877,0.652,6.83277791268492e-70
BRK1,2.47757815119264e-73,0.375816700399109,0.935,0.777,4.62291307231034e-69
NDUFB4,3.96387514375625e-73,0.376586074358067,0.953,0.801,7.39619463073479e-69
HIST1H4C,6.61098558744443e-73,-0.561180382124893,0.387,0.659,1.23354380076126e-68
MFAP2,6.69360226332015e-73,0.421199311055732,0.564,0.256,1.24895924631291e-68
GGCT,2.44485903914915e-72,-0.410644382386665,0.262,0.563,4.5618624811484e-68
TM4SF1,6.23956766591814e-72,0.441386083745608,0.384,0.102,1.16424093078367e-67
EGR1,9.56019183530888e-72,-0.476194487162443,0.093,0.343,1.78383619455028e-67
C3orf14,2.73483333655009e-70,0.383326004072662,0.675,0.376,5.10292552266881e-66
ZNF684,2.84553641617223e-70,-0.328874287161631,0.091,0.354,5.30948639893576e-66
MZT2A,3.48772099956662e-70,-0.361613264878767,0.384,0.648,6.50773861309135e-66
S100A6,5.38793597110935e-70,0.377951169150148,0.999,0.985,1.00533497284929e-65
TBCD,1.07166429429448e-69,-0.345362990951174,0.12,0.397,1.99961840672406e-65
TSPO,1.2830015990422e-69,0.336644431546654,0.379,0.096,2.39395268365283e-65
ATP6AP1,1.87935129619596e-69,0.37168570683973,0.817,0.562,3.50668158357205e-65
ERP29,5.69518826267008e-69,0.3698672257845,0.937,0.779,1.06266517793161e-64
AC004540.2,7.17123510322796e-69,-0.399155453020764,0.293,0.586,1.33808075791131e-64
PPIA,1.67396606237607e-68,-0.322234201601781,0.999,1,3.12345327578752e-64
RHOB,3.129742977676e-68,-0.616099221187484,0.553,0.707,5.83978742204565e-64
MT-CYB,5.35795311256956e-68,0.748805192126126,0.993,0.993,9.99740471274354e-64
ATP5ME,7.69508211746918e-68,-0.348869512776526,0.657,0.844,1.43582537229858e-63
C7orf50,1.43155292757341e-67,-0.376059995660849,0.242,0.534,2.67113460755923e-63
BASP1,3.57120950642609e-67,-0.292396870018485,0.095,0.36,6.66351981804044e-63
