,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CPB1,0,3.98846467262147,0.998,0.336,0
S100A1,0,1.71615194899479,0.979,0.203,0
RPS21,0,-1.13125498404529,0.998,1,0
TUBB2B,0,-1.70163605697536,0.005,0.889,0
TAC3,0,-2.21915533547225,0.146,0.946,0
RPL37A,3.07751053265325e-312,-1.08347549006421,0.995,1,5.7423269028777e-308
APOD,3.11130005225037e-307,1.55889257683087,0.998,0.759,5.80537476749396e-303
RPL36A,1.28834429309104e-301,-1.20020648960321,0.791,0.992,2.40392161647858e-297
B2M,6.86526904264674e-278,1.59064593946838,1,0.821,1.28099055066745e-273
RPS10,6.79357877436354e-253,-1.08865603325595,0.563,0.958,1.26761386350849e-248
RTN1,3.55336487668171e-244,-1.10884257135362,0.017,0.75,6.6302235234004e-240
RPS27,3.22722032426763e-241,-1.02628253847137,0.997,1,6.02167040305097e-237
GRP,2.05792695758643e-223,1.86846351701417,0.998,0.889,3.83988591016052e-219
HLA-C,1.46526973394913e-220,1.79858848381562,0.983,0.533,2.73404679657567e-216
TRIT1,6.83907768748567e-218,-1.31281617312237,0.72,0.96,1.27610350570795e-213
TIMP1,8.7018662908511e-212,1.10988227991498,0.989,0.588,1.62368123120991e-207
RPL13,5.26028036909575e-208,-0.823393511077371,1,1,9.81515714069575e-204
AP001136.1,1.44203466201707e-199,1.58326979429347,0.886,0.205,2.69069247585764e-195
RPL37,9.22428412839379e-196,-0.849167979478604,0.998,1,1.721159175517e-191
MDK,1.27813190617059e-195,1.20966509202437,0.98,0.583,2.38486632372371e-191
S100A14,1.66244375997473e-189,1.02026055560384,0.91,0.272,3.10195381173684e-185
SPINT2,3.11424977694943e-187,0.804078090155172,0.999,0.966,5.81087865880994e-183
HLA-A,1.70827604313844e-179,1.27135312218673,0.994,0.887,3.18747226889202e-175
HLA-B,1.71332899636076e-171,1.59776524446049,0.97,0.531,3.19690057430955e-167
RPL38,2.68985816165234e-171,-0.766104105144984,0.882,0.992,5.0190063438271e-167
PDIA3,4.13487290950849e-166,0.977279423655118,0.983,0.708,7.71525936185189e-162
RPL15,3.23155489392145e-164,0.634960860261329,1,0.996,6.02975827656804e-160
RHOA,1.77067869442898e-161,0.834205382580643,0.987,0.736,3.30390937593504e-157
RTBDN,3.86679259848397e-156,0.929757654019545,0.751,0.101,7.21504830951124e-152
PCSK1N,7.6380973167037e-156,-1.03680252432827,0.885,0.99,1.42519257832374e-151
HSP90B1,1.67308826017482e-151,0.929683705190661,0.993,0.899,3.1218153846602e-147
SSR4,1.10772242522177e-148,0.773666468206695,0.998,0.94,2.06689927322131e-144
RPL29,5.10555333247375e-148,0.703605506394255,1,0.992,9.52645196306278e-144
PPIB,1.08842769036846e-145,0.926312198356573,0.997,0.891,2.03089722745851e-141
CYB5A,4.76426613530972e-145,0.749249322665225,0.994,0.845,8.88964418187441e-141
TFF3,1.45675560191777e-144,0.992482541877361,0.998,0.915,2.71816027761837e-140
RPS28,7.6671247979598e-144,-0.696352754390237,0.999,1,1.43060881605132e-139
RPL3,1.64347086523944e-143,-0.704487001185861,0.998,1,3.06655228745026e-139
CPE,1.53448188893595e-141,0.752613836341475,0.998,0.92,2.8631897565656e-137
RPL14,2.22220153719481e-138,0.693486721594451,1,0.996,4.1464058482518e-134
RPL26,3.09052214106999e-134,-0.701063554232238,0.998,0.998,5.76660526302249e-130
S100A4,1.57275144347131e-133,0.977291184649288,0.952,0.541,2.93459691837312e-129
EPCAM,3.7556575218941e-133,0.676612464534349,0.997,0.968,7.0076813701022e-129
FTH1,4.53206939370321e-132,0.649771923743398,1,0.998,8.45638828171082e-128
CD24,1.14720265218106e-131,0.885166005082715,0.986,0.761,2.14056542870464e-127
CNBP,1.46870127071069e-130,0.674720317418218,0.981,0.712,2.74044970101908e-126
CHGA,3.93289645930214e-130,1.02754642180777,0.988,0.855,7.33839150341186e-126
FABP5,9.14214659862527e-130,-0.851490744896895,0.051,0.569,1.70583313383749e-125
SEC61G,2.7347850613895e-128,-0.705868859690068,0.856,0.98,5.10283544604667e-124
RPL24,1.17988703360099e-127,0.630894964879409,1,0.992,2.20155121599609e-123
RPS29,1.82952640107269e-123,-0.67545828371424,0.708,0.94,3.41371331176154e-119
CD9,4.94122140057552e-123,0.838991329439909,0.878,0.402,9.21982501133387e-119
FSCN1,6.50064412877917e-121,-0.564868727868977,0.025,0.491,1.21295518798891e-116
SELENOW,3.24796933030897e-119,0.79348118452723,0.99,0.893,6.0603859734235e-115
