,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CPB1,0,3.67132516206922,0.999,0.405,0
GRP,0,1.71135294658604,0.997,0.926,0
S100A1,0,1.62147809882663,0.981,0.268,0
HLA-C,0,1.4919450761458,0.981,0.63,0
AP001136.1,0,1.47461094740641,0.882,0.258,0
HLA-B,0,1.44104418611715,0.971,0.574,0
APOD,0,1.41113199787602,0.998,0.784,0
B2M,0,1.34876891291412,1,0.858,0
HLA-A,0,1.22353294429861,0.997,0.891,0
MDK,0,1.02941456387385,0.98,0.673,0
TIMP1,0,0.94910441884694,0.99,0.702,0
TFF3,0,0.931006034784793,0.998,0.93,0
RTBDN,0,0.893852807492158,0.738,0.123,0
HSP90B1,0,0.887888911808521,0.993,0.892,0
S100A14,0,0.84680423529846,0.886,0.343,0
PDIA3,0,0.81787358147541,0.971,0.708,0
SPINT2,0,0.677194698254808,0.999,0.973,0
RPL37,0,-0.617934216093041,0.999,0.999,0
SEC61G,0,-0.713482390043663,0.905,0.988,0
RPL37A,0,-0.724570456204031,0.997,1,0
RPS29,0,-0.732671499409812,0.795,0.969,0
UCHL1,0,-0.813635536063378,0.655,0.943,0
RPL13,0,-0.828882488433944,1,1,0
FABP5,0,-0.869731948694209,0.037,0.533,0
RPS27,0,-0.911924706004999,0.998,1,0
RTN1,0,-1.01620677305075,0.016,0.686,0
RPS21,0,-1.03675744155983,0.999,1,0
PCSK1N,0,-1.05609299737339,0.895,0.99,0
TRIT1,0,-1.17439351245042,0.758,0.972,0
NPW,0,-1.22773995478551,0.811,0.971,0
TUBB2B,0,-1.57566780046536,0.005,0.853,0
TAC3,0,-2.09309446821126,0.22,0.942,0
RPL38,2.96439387504748e-323,-0.603826354473739,0.943,0.996,5.53126253145109e-319
RHOA,5.78056805634258e-322,0.708764603502131,0.975,0.753,1.07859619363296e-317
FSCN1,9.88131291682493e-322,-0.545878576768882,0.021,0.457,1.84375417715036e-317
CHGA,3.14341856181805e-318,0.95932457348408,0.987,0.877,5.86530469449631e-314
RPS28,9.85510767496951e-318,-0.6396056837534,1,1,1.83886454107256e-313
RPL36A,1.44273742824705e-304,-0.652094127388199,0.9,0.99,2.69200376736616e-300
RPL15,2.67026003156277e-302,0.567333792132525,1,0.998,4.98243819289298e-298
CPA5,1.90191123945244e-301,-0.731248784424937,0.159,0.652,3.54877618169431e-297
S100A4,2.34595573553325e-298,0.881764992995278,0.956,0.628,4.37731880693148e-294
RPL3,3.01735732742359e-298,-0.604334552055432,0.998,0.999,5.63008703723968e-294
CD24,2.34973321743086e-289,0.777422095918592,0.982,0.801,4.38436721040424e-285
CHGB,8.94276060278225e-283,0.733477167677784,0.992,0.927,1.66862970087314e-278
BSG,6.84492566428093e-279,0.665600016353922,0.989,0.89,1.27719467969818e-274
MFSD2A,3.1680977738522e-278,-0.970600631290113,0.092,0.527,5.91135363623083e-274
CALR,7.92520170951333e-277,0.770686584153133,0.972,0.758,1.47876338697809e-272
RPL29,1.8127850612173e-271,0.604614697562453,1,0.996,3.38247564572536e-267
TAGLN2,1.80418502485788e-267,-0.833269730086734,0.249,0.648,3.36642883788231e-263
BMP8B,4.23480092194519e-267,-0.809251042362346,0.402,0.751,7.90171504025754e-263
RAMP1,5.37133747115868e-267,0.729647498963163,0.617,0.135,1.0022378587435e-262
BCAM,6.56751238207849e-265,0.735957443021475,0.915,0.585,1.22543213537203e-260
RPL24,9.62891083755163e-265,0.588297416177411,1,0.994,1.79665847317876e-260
EIF4A2,2.08096378564616e-260,0.59742746320275,0.975,0.76,3.88287032763717e-256
CNBP,5.06030838851869e-255,0.56603736987932,0.968,0.739,9.44202942213703e-251
PPIB,7.91853825979001e-254,0.740454684790773,0.993,0.922,1.47752005389422e-249
RPL14,2.71456639108721e-253,0.599593565776065,1,0.999,5.06510942912963e-249
WFDC2,4.69543888629051e-247,0.707148319068617,0.829,0.407,8.76121941792945e-243
SSR4,4.80169077032711e-246,0.609645286803876,0.997,0.967,8.95947480835335e-242
EPCAM,1.22999999722186e-242,0.574186163520205,0.997,0.968,2.29505699481626e-238
CYB5A,9.4824848435053e-236,0.560155895324247,0.991,0.886,1.76933684694965e-231
HSPA1A,6.92655426382785e-235,-1.1829165783969,0.864,0.944,1.29242576008764e-230
TUBA1A,4.21071449517217e-234,-0.67788614676586,0.904,0.985,7.85677217654175e-230
CD9,6.1132599997316e-231,0.653598486167241,0.861,0.493,1.14067318334992e-226
SELENOW,2.92364287106596e-223,0.636400120443334,0.991,0.919,5.45522523312197e-219
CA9,2.91733827981979e-219,0.68640736194516,0.591,0.141,5.44346149631574e-215
RGS7,2.12851642953441e-214,-0.418466127167529,0.026,0.359,3.97159880586825e-210
EVC2,3.79862834444868e-211,-0.552539946909286,0.037,0.378,7.0878606279068e-207
NPC2,4.42615514741729e-210,0.614051927011605,0.534,0.11,8.25876288956593e-206
VAMP8,4.65153664969318e-210,0.425532194756218,0.382,0.018,8.6793022346625e-206
RPS10,7.64554900271383e-206,-0.554585623364898,0.7,0.895,1.42658298841637e-201
RPL36,3.23368505825529e-205,-0.462725299620022,0.999,0.999,6.03373295019854e-201
MYCL,1.35733294206278e-203,-0.70504761297177,0.452,0.751,2.53264753659493e-199
LGALS3BP,7.0346990045425e-203,0.587673896484363,0.872,0.563,1.31260448725758e-198
TMA7,1.34079128789981e-199,0.453121665533983,0.997,0.96,2.50178246409225e-195
SOX4,1.67979080735433e-199,-0.751398295204803,0.848,0.977,3.13432166744244e-195
DIRAS3,1.77290861689062e-198,-0.608416380072863,0.119,0.5,3.30807018825621e-194
TOMM7,5.24156477815287e-195,-0.460189157671132,0.938,0.987,9.78023571955544e-191
PDIA6,1.72451458064842e-194,0.623663064238423,0.941,0.747,3.21777175603188e-190
EEF2,8.14052100618542e-190,-0.431433113204282,0.99,0.997,1.51893981454414e-185
LRPAP1,1.13797948893784e-184,0.526534696207264,0.85,0.526,2.12335592840912e-180
CNTNAP2,1.48294016050777e-183,-0.552751629433332,0.456,0.751,2.76701804549144e-179
AL033527.3,9.62595996458263e-183,-0.618223526656904,0.567,0.798,1.79610786979147e-178
RAB13,1.73601711459638e-182,0.511251343603211,0.694,0.293,3.23923433412538e-178
TUBB2A,2.17092966810566e-182,-0.438017264383667,0.032,0.335,4.05073766771834e-178
RPS18,2.20484147874468e-182,-0.534865109998929,1,1,4.1140137151897e-178
RPL34,7.22100607700119e-182,-0.47488655489545,1,0.999,1.34736752390765e-177
FHIT,4.23285412164904e-181,0.515877568232023,0.48,0.095,7.89808250558494e-177
CD63,7.00015465588681e-181,0.502497972232636,0.972,0.826,1.30615885724192e-176
CLDN18,1.32672837100669e-180,0.356237057383075,0.286,0.001,2.47554246746139e-176
ATP5F1E,3.0468482037742e-180,-0.469550794954421,0.824,0.95,5.68511406342228e-176
OR51E1,1.28983655924626e-174,0.597960935342972,0.572,0.179,2.40670603589759e-170
PSAP,8.13626323052964e-174,0.457273118212556,0.965,0.795,1.51814535618453e-169
TUBB3,2.3287485757429e-172,-0.380541229819892,0.066,0.393,4.34521196747868e-168
TSPAN13,1.02402681182964e-171,-0.32036876178586,0.03,0.321,1.91073162819293e-167
FTH1,6.0552189723054e-170,0.507799510622266,1,0.999,1.12984330804246e-165
PEG10,2.3596809346587e-169,-0.583351529720171,0.258,0.627,4.40292865597966e-165
TMBIM6,9.00802522952438e-167,0.461608119968296,0.954,0.784,1.68080742757695e-162
RPL39,1.26638022678894e-164,-0.475336282191249,0.999,1,2.36293886516548e-160
AC010642.2,1.36996301031945e-164,-0.480624688376875,0.33,0.675,2.55621398095505e-160
SCGB1D1,3.37867313509771e-163,-0.648601110567274,0.15,0.482,6.30426620277881e-159
TERF2IP,3.48891287078843e-163,-0.468489460083052,0.401,0.721,6.50996252560412e-159
HIST1H4C,1.56012863990468e-162,-0.685792960935165,0.34,0.685,2.91104402919814e-158
MT-ND2,1.47091581953606e-161,0.900328968567945,0.992,0.982,2.74458182767233e-157
RPL32,1.47848590752596e-161,0.491472235968644,1,0.999,2.7587068548527e-157
RPS19,2.65392861622018e-161,-0.421782051735111,1,1,4.95196540500523e-157
SPCS1,1.71778362455055e-160,0.457507160821699,0.886,0.623,3.20521246504887e-156
SNRPF,1.8295989390293e-160,-0.42687463893577,0.757,0.919,3.41384866033477e-156
SLIRP,6.31941624112067e-160,-0.448087550598829,0.493,0.777,1.17913987643071e-155
MME,1.0736729186392e-158,0.362488555830389,0.338,0.028,2.00336629888887e-154
SPINK7,4.13374320541928e-157,-0.313466700300585,0.016,0.261,7.71315144699184e-153
BRK1,5.26634121508101e-156,0.43649472205171,0.944,0.758,9.82646607321966e-152
GNG2,1.26433394775545e-151,-0.347800661120972,0.068,0.379,2.35912071311689e-147
RPSA,8.89823381561176e-151,0.426140311207255,0.999,0.992,1.660321447655e-146
PHF14,1.97991191817539e-150,-0.435205469200198,0.506,0.785,3.69431764812346e-146
TCF25,5.75814006463147e-150,-0.398435942238169,0.129,0.475,1.07441135465959e-145
RBP1,6.37344517517744e-150,0.480903311472411,0.927,0.719,1.18922113523636e-145
HIST1H1C,2.53054077765927e-148,0.742513052648489,0.53,0.174,4.72173603703442e-144
TENT5A,2.96710440882198e-146,0.569899793861262,0.947,0.808,5.53632011642093e-142
TPH1,1.56899211720998e-144,0.387604730584839,0.262,0.008,2.92758239150211e-140
MFAP2,1.80664820427245e-144,0.481882283016402,0.605,0.25,3.37102488435197e-140
OS9,2.0073930046534e-144,0.445941112308419,0.718,0.382,3.74559460738278e-140
PARK7,8.52227117432373e-144,-0.406236132562922,0.794,0.913,1.59017057841707e-139
RPL27,2.88206150667829e-143,-0.392087185868041,0.959,0.989,5.37763856531102e-139
TM4SF1,2.06007793323756e-142,0.503899465592098,0.433,0.1,3.84389941562797e-138
PON3,2.72480605048326e-142,0.47176049376554,0.688,0.35,5.08421560959671e-138
DPP7,1.2503574729824e-141,0.443567551831449,0.807,0.505,2.33304200883786e-137
MEIS2,3.40745419993429e-141,-0.509390788715999,0.638,0.864,6.35796879165739e-137
C3orf14,3.7363888546072e-141,0.438987626284578,0.702,0.359,6.97172796381157e-137
ERP29,1.38508140776032e-140,0.422405720513487,0.942,0.764,2.58442339873998e-136
HSPA1B,1.38186278319434e-137,-0.85491086839612,0.746,0.839,2.57841776716232e-133
HIST1H2AC,4.31726812971324e-137,0.581878041507553,0.807,0.503,8.05559060323194e-133
TMEM14C,1.35353867249472e-136,0.393160414864015,0.97,0.844,2.52556780900789e-132
S100A13,5.35409733044367e-132,0.416665173296968,0.955,0.787,9.99021020887484e-128
BZW2,6.68992022302472e-132,-0.381850807151484,0.182,0.503,1.24827221441418e-127
NDUFB1,2.29315155459802e-130,-0.424953970541335,0.28,0.6,4.27879148572445e-126
GRN,1.15928505144762e-129,0.435750319337159,0.749,0.447,2.16310997749612e-125
SNHG8,1.4263443703154e-129,-0.425915977177202,0.763,0.906,2.66141596057151e-125
EIF1B,1.54173696115814e-129,0.425030172080037,0.769,0.459,2.87672699582497e-125
SLC25A6,6.437364206207e-128,-0.390261275472397,0.815,0.933,1.20114778723616e-123
FOS,2.87649058596623e-127,-0.837819140621441,0.485,0.671,5.36724378435439e-123
TBCD,4.36161190343241e-125,-0.387307212820451,0.125,0.422,8.13833165061454e-121
TSPO,1.2861538167407e-124,0.35776803297366,0.406,0.093,2.39983440665647e-120
ATP6AP1,2.12512047056752e-124,0.410698693927777,0.822,0.56,3.96526228603194e-120
COX4I1,1.21771935788518e-123,-0.344264857796796,0.964,0.988,2.27214254987796e-119
SERP1,7.34191214060156e-123,0.396898860892307,0.807,0.513,1.36992738631484e-118
PFN2,4.3080442919307e-122,0.411216447943799,0.599,0.276,8.03837984431349e-118
CD164,5.1980413624046e-122,0.394144132009606,0.807,0.521,9.69902537811074e-118
MIF,6.36874938765885e-122,-0.452430153770613,1,0.999,1.18834494824326e-117
LCN15,7.17659637895774e-122,0.531720180185499,0.419,0.113,1.33908111834973e-117
THOC7,1.84114702693358e-121,0.394581083565908,0.69,0.385,3.43539623755537e-117
GABARAPL2,1.29764082717009e-120,-0.3533155069577,0.771,0.893,2.42126801941667e-116
PSMB9,6.14124626560227e-120,0.315094862497824,0.271,0.024,1.14589514069873e-115
MEG3,8.07600534114443e-120,-0.531729277292653,0.218,0.527,1.50690183660414e-115
SELENOK,4.4849736622137e-119,0.408430533684764,0.673,0.353,8.36851235632455e-115
