,p_val,avg_logFC,pct.1,pct.2,p_val_adj
RHOB,3.50574637995257e-155,1.09939701270714,0.957,0.569,6.54137217035349e-151
HSPA1B,1.29603827796775e-149,1.14153585299982,0.991,0.758,2.41827782286003e-145
FOS,4.06116354632142e-144,1.20192692820832,0.944,0.524,7.57772506108113e-140
HSPA1A,7.79342401082401e-127,0.961725518303759,0.998,0.917,1.45417498617965e-122
GADD45B,2.7285339396747e-126,0.999500965311629,0.913,0.425,5.09117147803903e-122
RASD1,1.59763089848055e-123,0.904311715728043,0.796,0.19,2.98101949347486e-119
EGR1,1.37331273407095e-121,0.862241388874947,0.736,0.142,2.56246423050299e-117
SERTAD1,3.49965935385016e-113,0.849792766134627,0.648,0.092,6.53001438834902e-109
RGS2,6.57122642346404e-111,0.884852078360758,0.829,0.267,1.22612513835416e-106
MYLIP,1.5974231995621e-108,0.748769944580361,0.702,0.146,2.98063194806291e-104
PPP1R15A,8.38217193256245e-101,0.742606513041531,0.751,0.196,1.56402946089683e-96
HSPA6,7.14519254097915e-96,1.49666468517413,0.805,0.422,1.3332214762213e-91
JUNB,6.65729821871859e-88,0.759729135327229,0.69,0.177,1.2421852746307e-83
ARC,4.79064346635115e-86,0.669681990759529,0.567,0.096,8.93886164386461e-82
DUSP2,1.08461353311487e-83,0.950446582388055,0.646,0.16,2.02378039143903e-79
MFSD2A,2.23968899199031e-83,0.916984422063792,0.816,0.328,4.17903569015471e-79
ARL4D,8.70105632153362e-83,0.568888649741925,0.52,0.071,1.62353009903496e-78
IER2,7.96195733300885e-81,0.767510225037121,0.711,0.232,1.48562161876612e-76
RGS16,4.99413945923678e-80,0.646665539724233,0.625,0.154,9.31856481698991e-76
BTG2,1.08685763568472e-79,0.720251034837432,0.727,0.27,2.02796766242411e-75
HSPA2,3.39994236385818e-79,0.486129648250606,0.471,0.054,6.34395245672299e-75
ID2,2.27041306859612e-74,0.65885986380117,0.727,0.255,4.23636374469349e-70
ARL4A,1.14137051258016e-71,0.619197401105455,0.643,0.193,2.12968323942332e-67
DUSP1,1.41625852001964e-68,0.796072040596592,0.684,0.24,2.64259677250464e-64
TUBB2A,1.41870121391237e-67,0.527908520925123,0.588,0.149,2.64715459503909e-63
SOCS1,3.9406288044911e-65,0.372428036193969,0.406,0.048,7.35281928629994e-61
IER5,9.94607052306948e-65,0.590182383351842,0.549,0.131,1.85583729889953e-60
ID1,2.63475725132478e-61,0.44361527553562,0.399,0.051,4.91619355524691e-57
MUC12,6.53074731067798e-61,0.405735765454411,0.388,0.046,1.2185721406994e-56
FOSB,1.52664848074072e-59,0.431184271051229,0.356,0.034,2.84857340021411e-55
NRN1,3.13100630848724e-58,-0.895721758837064,0.46,0.813,5.84214467100634e-54
NR4A1,3.23416327576416e-58,0.50131852923605,0.478,0.1,6.03462525624834e-54
BNIP3,2.55438380068906e-57,-0.718686452732891,0.641,0.897,4.76622473370571e-53
NR4A2,3.53470174403128e-56,0.421070908993499,0.448,0.086,6.59539998418797e-52
NDUFA4L2,1.27990138296441e-52,-0.786871452622829,0.283,0.689,2.38816799047329e-48
GADD45G,3.01557548922406e-52,0.604653054411155,0.545,0.171,5.62676230534317e-48
HSPB1,1.47110702480771e-51,0.476728643918469,0.998,0.988,2.7449385975887e-47
ID3,4.92934219637307e-49,0.425832468469704,0.401,0.076,9.19765960421251e-45
BAMBI,7.75361763542127e-49,0.385944179999875,0.375,0.065,1.44674751459325e-44
SGK1,5.0183670687964e-47,0.463468722190965,0.518,0.162,9.36377111366719e-43
NPTX2,5.69563033359765e-47,0.392681143085623,0.54,0.174,1.06274766394599e-42
IER3,1.02069092411254e-46,0.429995237388607,0.489,0.137,1.90450719530159e-42
ZFP36,2.85626675911214e-46,0.398249308240466,0.384,0.074,5.32950814582734e-42
MCL1,3.24154945564265e-46,0.48948770551465,0.543,0.188,6.04840712928362e-42
PARD6G-AS1,2.48086312240393e-45,0.375881304416079,0.437,0.106,4.62904250009349e-41
DEPP1,1.46869582755838e-44,0.397102349039415,0.457,0.121,2.74043954464118e-40
ATF3,1.20745459510088e-43,0.439539598451248,0.473,0.135,2.25298952899874e-39
NPAS4,1.44021561688628e-43,0.389518464708579,0.383,0.079,2.68729831954811e-39
SAT1,2.02127785505476e-43,0.415715036391465,0.507,0.16,3.77150234974668e-39
LDHA,5.48705263885575e-43,-0.632604388318025,0.827,0.945,1.02382915188409e-38
CCDC85B,9.54064367669366e-42,0.424117135059277,0.635,0.296,1.78018870363427e-37
HOXD1,2.81646366114794e-41,0.324419507245131,0.339,0.061,5.25523954533594e-37
MT-ATP6,7.48070772496312e-41,0.39802588620788,1,0.988,1.39582525440087e-36
DNAJB1,1.75283043384731e-40,0.650334078924746,0.821,0.575,3.2706063065157e-36
MT-ND3,4.29627752874167e-40,0.397155824204022,1,0.98,8.01642424087908e-36
JUN,5.34801066729309e-40,0.610816567764156,0.866,0.698,9.97885310410218e-36
MT-ND1,8.95762777857493e-40,0.393239099294516,0.995,0.966,1.6714037672043e-35
CITED4,5.86130697293392e-39,0.523961512746505,0.542,0.222,1.09366126807974e-34
SFN,9.26800328962354e-38,0.399293041682038,0.558,0.228,1.72931673381086e-33
CALCB,4.71094103065874e-36,0.491718677568599,0.509,0.188,8.79014486910614e-32
MAP1LC3B,1.69492234094102e-35,0.341832095492039,0.711,0.378,3.16255559596185e-31
FABP5,1.96571353695634e-35,0.579765686080166,0.708,0.393,3.66782488860684e-31
TUBA1B,3.80175117541558e-35,0.410830931804415,0.964,0.912,7.09368751820793e-31
P4HA1,3.9647509950138e-35,-0.528359979846724,0.171,0.436,7.39782888159624e-31
PMAIP1,1.55705990706944e-34,0.253570436218748,0.256,0.037,2.90531808060087e-30
CFL1,3.20955986322984e-34,0.31005965168986,0.989,0.952,5.98871774880056e-30
CPB1,7.06315822717491e-34,-0.343766809315131,0.22,0.544,1.31791469360857e-29
SEC11C,1.14784543279762e-33,0.360446078534919,1,0.998,2.14176479305708e-29
PCNA,1.40315971165246e-33,0.342525005004106,0.547,0.229,2.61815570597232e-29
S100A1,1.60805706398788e-33,-0.268840386876044,0.106,0.391,3.00047367569498e-29
UCHL1,5.31765639882131e-33,0.358482500058487,0.966,0.93,9.92221507456069e-29
C4orf3,1.08169839074129e-32,-0.390686490710381,0.329,0.629,2.01834102728418e-28
PDK4,1.14103833404608e-32,0.456442264387755,0.357,0.099,2.12906342749658e-28
PHLDA2,3.12340067608563e-32,0.471044528449101,0.688,0.488,5.82795332150817e-28
ELF3,7.71606339265131e-32,0.467033495143021,0.424,0.142,1.43974026843481e-27
CITED2,1.55737148076023e-31,0.391837849606377,0.41,0.139,2.90589944595052e-27
NAXE,2.17724622866261e-31,0.344166945663949,0.968,0.915,4.06252373806157e-27
IFRD1,4.5723736507157e-31,0.346791435044658,0.576,0.266,8.53159199487042e-27
CLDN4,9.42275644537635e-31,0.374704685106622,0.816,0.672,1.75819212514277e-26
UBE2S,3.71343433127013e-29,0.301225151447273,0.536,0.239,6.92889711871693e-25
SDF2L1,4.26837858009498e-29,0.297135985206211,0.375,0.121,7.96436759259922e-25
UFD1,9.81096831994328e-29,0.258457310462431,0.545,0.249,1.83062857881822e-24
CPA5,1.10018994840351e-28,0.348570957933894,0.812,0.546,2.05284442472611e-24
SCGB1D1,2.23774351277912e-28,0.372431554353831,0.644,0.344,4.17540562049456e-24
KRTCAP2,2.49363999925677e-28,0.286942943000313,0.935,0.903,4.6528828746132e-24
PGRMC1,9.2376258279514e-28,0.284001413402938,0.563,0.27,1.72364860323745e-23
ADM,2.30241186542434e-27,0.342143940873492,0.348,0.108,4.29607029969527e-23
TAGLN2,7.72240036447158e-27,0.437783323705836,0.785,0.547,1.44092268400675e-22
GGCT,1.26810087005936e-26,0.281878652587872,0.744,0.459,2.36614941344375e-22
ZFAND2A,5.8531974415319e-26,0.36099803760934,0.422,0.166,1.09214811061544e-21
CDC42EP3,9.05714363454604e-26,0.280443368061583,0.399,0.148,1.68997243076995e-21
ALDOA,1.06171472494488e-25,-0.500440228156681,0.612,0.797,1.98105350527466e-21
SLC25A39,3.33843318437393e-25,0.265734886402123,0.628,0.344,6.22918247872332e-21
HSPH1,2.52700358696067e-24,0.28036289099348,0.482,0.217,4.71513599290992e-20
C4orf48,2.64579131877723e-24,0.266531421331661,0.962,0.938,4.93678202170644e-20
RHBDD2,3.44798764299661e-24,0.257646640933499,0.644,0.365,6.43360014306737e-20
ZNF10,6.48507492706869e-24,0.287699965720181,0.35,0.125,1.21005013064175e-19
GPI,6.57942768494447e-24,-0.422456310232964,0.673,0.837,1.22765541173379e-19
TUBA1A,1.03143338905806e-23,0.32244162322476,0.993,0.977,1.92455156064344e-19
RPL24,1.45431165287807e-23,-0.291606699813883,0.993,0.999,2.7136001131052e-19
