,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0045047,GO:0045047,protein targeting to ER,36/317,99/12743,7.56085249659852e-33,2.71812647252717e-29,2.42583983259287e-29,RPS21/RPL13/RPS27/RPS29/SEC61G/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/HSPA5/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,36
GO:0070972,GO:0070972,protein localization to endoplasmic reticulum,38/317,118/12743,2.53793344636769e-32,4.56193536984593e-29,4.07137954975196e-29,RPS21/RPL13/RPS27/RPS29/SEC61G/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/OS9/RPS5/RPL27/PPP1R15A/RPS4Y1/HSPA5/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,38
GO:0072599,GO:0072599,establishment of protein localization to endoplasmic reticulum,36/317,103/12743,3.99654003251341e-32,4.7891871389619e-29,4.27419439266697e-29,RPS21/RPL13/RPS27/RPS29/SEC61G/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/HSPA5/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,36
GO:0006614,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,34/317,94/12743,5.67456698759407e-31,5.10001708010017e-28,4.55160004689124e-28,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,34
GO:0006613,GO:0006613,cotranslational protein targeting to membrane,34/317,97/12743,1.97261815232033e-30,1.41831245151832e-27,1.26579792174155e-27,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,34
GO:0000184,GO:0000184,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,34/317,117/12743,2.6367103788515e-27,1.57982896866186e-24,1.40994618153322e-24,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,34
GO:0006413,GO:0006413,translational initiation,39/317,178/12743,3.95087205301708e-26,2.02905500437091e-23,1.81086586730768e-23,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/EIF4A2/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/KHDRBS1/RPS5/RPL27/PPP1R15A/RPS4Y1/EIF1B/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14/EIF3L,39
GO:0006612,GO:0006612,protein targeting to membrane,35/317,153/12743,3.32897450899313e-24,1.49595791997879e-21,1.33509398729093e-21,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/HSPA5/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,35
GO:0019083,GO:0019083,viral transcription,35/317,172/12743,2.18006064669212e-22,8.70813113873129e-20,7.77172497206733e-20,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14/JUN,35
GO:0019080,GO:0019080,viral gene expression,36/317,186/12743,3.2099544712432e-22,1.15397863241193e-19,1.02988855035255e-19,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14/EIF3L/JUN,36
