,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0045047,GO:0045047,protein targeting to ER,46/451,99/12743,1.31897226549496e-40,5.3378807584581e-37,4.63722880710859e-37,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/SEC61G/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/HSPA5/RPL21/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/SRP9/RPL4/RPS9/RPS20/RPS14/RPLP1,46
GO:0072599,GO:0072599,establishment of protein localization to endoplasmic reticulum,46/451,103/12743,1.29983667179249e-39,2.6302195053721e-36,2.28497604409837e-36,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/SEC61G/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/HSPA5/RPL21/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/SRP9/RPL4/RPS9/RPS20/RPS14/RPLP1,46
GO:0006614,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,44/451,94/12743,4.77116179353157e-39,6.31449258808918e-36,5.48565025274547e-36,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/SRP9/RPL4/RPS9/RPS20/RPS14/RPLP1,44
GO:0070972,GO:0070972,protein localization to endoplasmic reticulum,48/451,118/12743,6.24115897018946e-39,6.31449258808918e-36,5.48565025274547e-36,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/SEC61G/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/OS9/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/HSPA5/RPL21/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/SRP9/RPL4/RPS9/RPS20/RPS14/PPP1R15A/RPLP1,48
GO:0006613,GO:0006613,cotranslational protein targeting to membrane,44/451,97/12743,2.72852888852526e-38,2.20847128237235e-35,1.91858662898408e-35,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/SRP9/RPL4/RPS9/RPS20/RPS14/RPLP1,44
GO:0000184,GO:0000184,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,43/451,117/12743,1.01422059659837e-32,6.84091792405601e-30,5.94297682919046e-30,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,43
GO:0006612,GO:0006612,protein targeting to membrane,47/451,153/12743,1.33381912600082e-31,7.71138000417904e-29,6.69918177570338e-29,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/HSPA5/RPL21/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/SRP9/RPL4/RPS9/CIB1/RPS20/RPS14/HRAS/RPLP1,47
GO:0006413,GO:0006413,translational initiation,48/451,178/12743,2.28413649203493e-29,1.15548754790817e-26,1.0038178793943e-26,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/EIF4A2/RPL32/RPL27/RPLP2/RPS19/EIF1B/RPL39/RPS18/RPSA/RPS17/EIF3L/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/EIF4A1/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/PPP1R15A/RPLP1,48
GO:0019083,GO:0019083,viral transcription,46/451,172/12743,5.29885850324594e-28,2.38272004029292e-25,2.0699634386949e-25,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/POLR2H/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/HDAC1/RPS20/RPS14/RPLP1/JUN,46
GO:0019080,GO:0019080,viral gene expression,47/451,186/12743,2.12089490363198e-27,8.58326167499863e-25,7.45661997697981e-25,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/EIF3L/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/POLR2H/RPL17/RPL28/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/HDAC1/RPS20/RPS14/RPLP1/JUN,47
