,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0045047,GO:0045047,protein targeting to ER,41/344,99/12743,1.29453164734437e-38,4.75481474069587e-35,4.22289850012653e-35,RPL37/SEC61G/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/HSPA5/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17,41
GO:0072599,GO:0072599,establishment of protein localization to endoplasmic reticulum,41/344,103/12743,9.33383081313342e-38,1.59839252642725e-34,1.41958199647443e-34,RPL37/SEC61G/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/HSPA5/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17,41
GO:0070972,GO:0070972,protein localization to endoplasmic reticulum,43/344,118/12743,1.30552071311782e-37,1.59839252642725e-34,1.41958199647443e-34,RPL37/SEC61G/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/OS9/RPL27/RPLP2/RPS2/HSPA5/RPL27A/RPL35/RPL41/RPL35A/RPL28/PPP1R15A/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17,43
GO:0006614,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,39/344,94/12743,8.49867308977716e-37,7.80390656468787e-34,6.93089155400511e-34,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17,39
GO:0006613,GO:0006613,cotranslational protein targeting to membrane,39/344,97/12743,3.78145480487257e-36,2.77785669965939e-33,2.46710072427371e-33,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17,39
GO:0000184,GO:0000184,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,39/344,117/12743,2.01308665936444e-32,1.23234454997427e-29,1.09448343111762e-29,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17,39
GO:0006413,GO:0006413,translational initiation,44/344,178/12743,2.92128299836358e-30,1.53283892185563e-27,1.36136180630507e-27,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/EIF4A2/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/EIF1B/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/EIF3L/RPL28/PPP1R15A/RPLP0/RPL26/EIF4A1/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17,44
GO:0006612,GO:0006612,protein targeting to membrane,40/344,153/12743,1.35545723982992e-28,6.22324305236912e-26,5.52705524504331e-26,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/HSPA5/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17,40
GO:0019083,GO:0019083,viral transcription,41/344,172/12743,1.45599583510504e-27,5.94208078037869e-25,5.27734630759126e-25,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/POLR2H/JUN,41
GO:0019080,GO:0019080,viral gene expression,42/344,186/12743,3.35902305712956e-27,1.23376916888369e-24,1.0957486793731e-24,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/EIF3L/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/POLR2H/JUN,42
