,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0090084,GO:0090084,negative regulation of inclusion body assembly,4/137,10/12743,2.55384938443905e-06,0.0045407508278047,0.00368717768867709,HSPA1B/HSPA1A/HSPA2/DNAJB1,4
GO:0031960,GO:0031960,response to corticosteroid,9/137,116/12743,4.24774415229669e-06,0.0045407508278047,0.00368717768867709,FOS/DUSP1/FOSB/ZFP36/NPAS4/PCNA/ADM/CYBA/IGFBP2,9
GO:0097201,GO:0097201,negative regulation of transcription from RNA polymerase II promoter in response to stress,4/137,12/12743,5.91983607678519e-06,0.0045407508278047,0.00368717768867709,HSPA1A/DNAJB1/JUN/CITED2,4
GO:0034599,GO:0034599,cellular response to oxidative stress,12/137,237/12743,9.27011624582728e-06,0.0045407508278047,0.00368717768867709,RHOB/HSPA1B/FOS/HSPA1A/BNIP3/NR4A2/HSPB1/MCL1/JUN/PCNA/CYCS/CYBA,12
GO:0035966,GO:0035966,response to topologically incorrect protein,10/137,166/12743,1.18750149288737e-05,0.0045407508278047,0.00368717768867709,HSPA1A/PPP1R15A/HSPB1/ATF3/DNAJB1/SDF2L1/UFD1/HSPH1/HERPUD1/HSPA5,10
GO:0006457,GO:0006457,protein folding,10/137,167/12743,1.2517108341344e-05,0.0045407508278047,0.00368717768867709,HSPA1B/HSPA1A/HSPA6/HSPA2/HSPB1/DNAJB1/HSPH1/TBCC/HSPA5/PPIB,10
GO:0043618,GO:0043618,regulation of transcription from RNA polymerase II promoter in response to stress,8/137,104/12743,1.57330966348811e-05,0.0045407508278047,0.00368717768867709,HSPA1A/EGR1/ATF3/DNAJB1/JUN/CITED2/VEGFA/HSPA5,8
GO:0090083,GO:0090083,regulation of inclusion body assembly,4/137,15/12743,1.59198094134034e-05,0.0045407508278047,0.00368717768867709,HSPA1B/HSPA1A/HSPA2/DNAJB1,4
GO:0006006,GO:0006006,glucose metabolic process,10/137,172/12743,1.61966452167286e-05,0.0045407508278047,0.00368717768867709,ATF3/FABP5/PMAIP1/PDK4/PHLDA2/ALDOA/GPI/ENO1/PGK1/ZMPSTE24,10
GO:0051384,GO:0051384,response to glucocorticoid,8/137,105/12743,1.68781065498703e-05,0.0045407508278047,0.00368717768867709,FOS/DUSP1/FOSB/ZFP36/NPAS4/PCNA/ADM/IGFBP2,8
GO:0007610,GO:0007610,behavior,16/137,436/12743,1.77562243533067e-05,0.0045407508278047,0.00368717768867709,FOS/EGR1/ARC/BTG2/ID2/NR4A2/SGK1/NPTX2/NPAS4/JUN/UCHL1/NPW/APRT/GRP/PPT1/ZMPSTE24,16
GO:0043620,GO:0043620,regulation of DNA-templated transcription in response to stress,8/137,109/12743,2.21845847196854e-05,0.00506119204042598,0.00410978604139591,HSPA1A/EGR1/ATF3/DNAJB1/JUN/CITED2/VEGFA/HSPA5,8
GO:0001836,GO:0001836,release of cytochrome c from mitochondria,6/137,54/12743,2.33897961342118e-05,0.00506119204042598,0.00410978604139591,BNIP3/JUN/SFN/PMAIP1/GGCT/FAM162A,6
GO:0009991,GO:0009991,response to extracellular stimulus,15/137,401/12743,2.64767882222163e-05,0.00506786181574041,0.00411520202823608,FOS/NR4A2/ZFP36/ATF3/JUN/MAP1LC3B/PMAIP1/PCNA/PDK4/ADM/GLUL/CYBA/HSPA5/ASCL1/IGFBP2,15
GO:0001101,GO:0001101,response to acid chemical,12/137,265/12743,2.8268561993767e-05,0.00506786181574041,0.00411520202823608,EGR1/DUSP1/SOCS1/ID3/CFL1/PCNA/PDK4/CYBA/VEGFA/TOMM20/ASCL1/IGFBP2,12
GO:0006979,GO:0006979,response to oxidative stress,14/137,357/12743,2.97858215488383e-05,0.00506786181574041,0.00411520202823608,RHOB/HSPA1B/FOS/HSPA1A/DUSP1/BNIP3/NR4A2/HSPB1/MCL1/JUN/PCNA/CYCS/CYBA/NDUFB4,14
GO:0042026,GO:0042026,protein refolding,4/137,18/12743,3.48046298767776e-05,0.00506786181574041,0.00411520202823608,HSPA1B/HSPA1A/HSPA6/HSPA2,4
GO:0009167,GO:0009167,purine ribonucleoside monophosphate metabolic process,12/137,272/12743,3.65017610161512e-05,0.00506786181574041,0.00411520202823608,HSPA1B/HSPA1A/LDHA/ALDOA/GPI/NDUFA4/APRT/ENO1/PGK1/NDUFB4/TMSB4X/NDUFS5,12
GO:0010038,GO:0010038,response to metal ion,12/137,272/12743,3.65017610161512e-05,0.00506786181574041,0.00411520202823608,FOS/JUNB/ID2/DUSP1/FOSB/BNIP3/JUN/PCNA/NDRG1/HSPA5/ASCL1/IGFBP2,12
GO:0009126,GO:0009126,purine nucleoside monophosphate metabolic process,12/137,273/12743,3.78333089692672e-05,0.00506786181574041,0.00411520202823608,HSPA1B/HSPA1A/LDHA/ALDOA/GPI/NDUFA4/APRT/ENO1/PGK1/NDUFB4/TMSB4X/NDUFS5,12
GO:0009199,GO:0009199,ribonucleoside triphosphate metabolic process,12/137,273/12743,3.78333089692672e-05,0.00506786181574041,0.00411520202823608,HSPA1B/HSPA1A/LDHA/ALDOA/GPI/CTPS1/NDUFA4/ENO1/PGK1/NDUFB4/TMSB4X/NDUFS5,12
