,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa03010,hsa03010,Ribosome,35/196,131/5923,4.13575956289537e-23,9.26410142088563e-21,8.18445050341399e-21,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/MRPL33/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,35
hsa05012,hsa05012,Parkinson disease,21/196,213/5923,5.98481146015202e-06,0.000670298883537027,0.0005921813444782,TUBB2B/UCHL1/TUBA1A/TUBB2A/TUBB3/PARK7/NDUFB1/COX4I1/ATP5F1E/SLC25A6/NDUFB4/DUSP1/HSPA5/NDUFA3/PSMA6/NDUFA4L2/NDUFA6/UQCR10/CAMK2B/TUBB4B/NDUFS5,21
hsa04612,hsa04612,Antigen processing and presentation,10/196,57/5923,1.39216834316368e-05,0.000794011248079123,0.000701476102626293,B2M/HLA-A/HLA-C/HLA-B/PDIA3/HSPA1A/CALR/HSPA1B/HSPA6/HSPA5,10
hsa04141,hsa04141,Protein processing in endoplasmic reticulum,17/196,157/5923,1.41787722871272e-05,0.000794011248079123,0.000701476102626293,SEC61G/HSP90B1/PDIA3/HSPA1A/CALR/SSR4/PDIA6/HSPA1B/HSPA6/OS9/ERP29/PPP1R15A/HSPA5/SVIP/RBX1/RPN1/DNAJB1,17
hsa04145,hsa04145,Phagosome,13/196,111/5923,6.64189356788208e-05,0.00297556831841117,0.00262879155949859,TUBB2B/HLA-A/HLA-C/HLA-B/SEC61G/CALR/TUBA1A/TUBB2A/TUBB3/RAC1/ATP6AP1/ATP6V0E2/TUBB4B,13
hsa00190,hsa00190,Oxidative phosphorylation,12/196,111/5923,0.000273862386104356,0.010224195747896,0.00903265413817875,NDUFB1/COX4I1/ATP5F1E/NDUFB4/ATP6AP1/ATP5ME/NDUFA3/ATP6V0E2/NDUFA4L2/NDUFA6/UQCR10/NDUFS5,12
hsa05130,hsa05130,Pathogenic Escherichia coli infection,14/196,167/5923,0.00118330267491375,0.0378656855972401,0.0334527673509452,TUBB2B/RHOA/TUBA1A/TUBB2A/TUBB3/CLDN18/FOS/TMBIM6/CDC42/RAC1/BRK1/RPS3/JUN/TUBB4B,14
hsa04932,hsa04932,Non-alcoholic fatty liver disease (NAFLD),11/196,130/5923,0.00366772238049268,0.0915543482192387,0.0808844805696282,NDUFB1/COX4I1/CDC42/RAC1/NDUFB4/NDUFA3/NDUFA4L2/NDUFA6/UQCR10/JUN/NDUFS5,11
hsa05167,hsa05167,Kaposi sarcoma-associated herpesvirus infection,12/196,150/5923,0.00387979012729418,0.0915543482192387,0.0808844805696282,HLA-A/HLA-C/HLA-B/GNB2/FOS/GABARAP/GABARAPL2/GNG2/RAC1/CDKN1A/JUN/VEGFA,12
hsa05016,hsa05016,Huntington disease,16/196,232/5923,0.00408724768835887,0.0915543482192387,0.0808844805696282,TUBB2B/TUBA1A/TUBB2A/TUBB3/NDUFB1/COX4I1/ATP5F1E/SLC25A6/NDUFB4/NDUFA3/WIPI2/NDUFA4L2/NDUFA6/UQCR10/TUBB4B/NDUFS5,16
