,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa03010,hsa03010,Ribosome,45/288,131/5923,2.08406338939138e-27,5.39772417852367e-25,4.89206458772923e-25,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/MRPL33/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,45
hsa05012,hsa05012,Parkinson disease,34/288,213/5923,4.30621598900366e-10,5.57654970575974e-08,5.05413771340956e-08,TUBB2B/UCHL1/TUBA1A/ATP5F1E/TUBB2A/NDUFA13/TUBB3/SLC25A6/NDUFA11/PARK7/COX7C/UQCR11/NDUFB4/HSPA5/NDUFB5/COX4I1/PSMD6/ATP5PO/NDUFB1/COX6C/UQCR10/PSMD7/NDUFA3/UQCRC1/NDUFA4L2/NDUFC2/CAMK2B/NDUFA6/UQCRFS1/DUSP1/TUBB4B/UBC/DDIT3/NDUFS5,34
hsa04932,hsa04932,Non-alcoholic fatty liver disease (NAFLD),23/288,130/5923,4.79973361423076e-08,3.64967697051568e-06,3.30777469792724e-06,NDUFA13/NDUFA11/COX7C/UQCR11/NDUFB4/NDUFB5/COX4I1/CDC42/NDUFB1/AKT3/COX6C/UQCR10/NDUFA3/RAC1/UQCRC1/NDUFA4L2/NDUFC2/NDUFA6/ADIPOR1/UQCRFS1/JUN/DDIT3/NDUFS5,23
hsa00190,hsa00190,Oxidative phosphorylation,21/288,111/5923,5.63656674983117e-08,3.64967697051568e-06,3.30777469792724e-06,ATP5F1E/NDUFA13/ATP6AP1/NDUFA11/COX7C/UQCR11/NDUFB4/NDUFB5/COX4I1/ATP5PO/NDUFB1/COX6C/UQCR10/NDUFA3/UQCRC1/NDUFA4L2/NDUFC2/ATP5ME/NDUFA6/UQCRFS1/NDUFS5,21
hsa04612,hsa04612,Antigen processing and presentation,14/288,57/5923,3.50109001218456e-07,1.8135646263116e-05,1.64366962677296e-05,B2M/HLA-C/HLA-A/HLA-B/PDIA3/CALR/HSPA1A/HSPA1B/HSPA5/CD74/HSPA6/HLA-E/CTSL/PSME1,14
hsa05016,hsa05016,Huntington disease,29/288,232/5923,2.02738903828596e-06,8.75156268193438e-05,7.93171500943453e-05,TUBB2B/TUBA1A/ATP5F1E/TUBB2A/NDUFA13/TUBB3/SLC25A6/NDUFA11/COX7C/UQCR11/NDUFB4/SOD1/NDUFB5/POLR2H/COX4I1/ATP5PO/NDUFB1/COX6C/UQCR10/NDUFA3/UQCRC1/HDAC1/NDUFA4L2/AP2M1/NDUFC2/NDUFA6/UQCRFS1/TUBB4B/NDUFS5,29
hsa05010,hsa05010,Alzheimer disease,32/288,277/5923,3.33541723573962e-06,0.000123410437722366,0.000111849329860141,TUBB2B/TUBA1A/ATP5F1E/MME/TUBB2A/NDUFA13/TUBB3/SLC25A6/NDUFA11/COX7C/UQCR11/NDUFB4/NDUFB5/COX4I1/ATP5PO/NDUFB1/CAPN2/AKT3/COX6C/UQCR10/BACE2/NDUFA3/UQCRC1/NCSTN/NDUFA4L2/NDUFC2/HRAS/NDUFA6/UQCRFS1/TUBB4B/DDIT3/NDUFS5,32
hsa04141,hsa04141,Protein processing in endoplasmic reticulum,22/288,157/5923,5.81431402666655e-06,0.00018823841661333,0.000170604214203505,PDIA3/HSP90B1/SSR4/SEC61G/CALR/PDIA6/HSPA1A/ERP29/OS9/HSPA1B/HSPA5/HSPA6/SVIP/CAPN2/RPN1/TUSC3/DDOST/RBX1/PPP1R15A/P4HB/DNAJB1/DDIT3,22
hsa04714,hsa04714,Thermogenesis,25/288,203/5923,1.3891967385241e-05,0.000399779950308601,0.000362328506071197,ATP5F1E/BMP8B/NDUFAF3/NDUFA13/NDUFA11/COX7C/UQCR11/NDUFB4/NDUFB5/COX4I1/ATP5PO/NDUFB1/COX6C/UQCR10/NDUFA3/UQCRC1/NDUFA4L2/NDUFC2/RHEB/HRAS/ATP5ME/NPPA/NDUFA6/UQCRFS1/NDUFS5,25
hsa04145,hsa04145,Phagosome,17/288,111/5923,2.12761316444418e-05,0.000551051809591041,0.000499429195443212,TUBB2B/HLA-C/HLA-A/HLA-B/SEC61G/CALR/TUBA1A/CYBA/TUBB2A/TUBB3/ATP6AP1/LAMP1/HLA-E/RAB7A/CTSL/RAC1/TUBB4B,17
hsa03060,hsa03060,Protein export,6/288,23/5923,0.00062742052073173,0.0147729013517744,0.0133889737916915,SEC61G/SPCS1/SEC11C/HSPA5/SEC11A/SRP9,6
hsa04260,hsa04260,Cardiac muscle contraction,9/288,61/5923,0.00249933817026211,0.0539440488414906,0.0488905624533729,COX7C/UQCR11/COX4I1/CACNA2D1/COX6C/UQCR10/UQCRC1/TPM3/UQCRFS1,9
hsa05211,hsa05211,Renal cell carcinoma,9/288,68/5923,0.00527777893846603,0.0951901491865762,0.0862727220833428,CDKN1A/HGF/ELOB/CDC42/AKT3/RAC1/RBX1/HRAS/JUN,9
hsa05170,hsa05170,Human immunodeficiency virus 1 infection,17/288,179/5923,0.00594977388013153,0.0951901491865762,0.0862727220833428,B2M/HLA-C/HLA-A/HLA-B/PDIA3/CALR/GNG2/FOS/ELOB/AKT3/HLA-E/RAC1/RNF7/RBX1/HRAS/GNG5/JUN,17
hsa05167,hsa05167,Kaposi sarcoma-associated herpesvirus infection,15/288,150/5923,0.00597525370610879,0.0951901491865762,0.0862727220833428,HLA-C/HLA-A/HLA-B/GNG2/CDKN1A/FOS/AKT3/GABARAPL2/HLA-E/ANGPT2/RAC1/HRAS/GNG5/JUN/UBC,15
hsa04940,hsa04940,Type I diabetes mellitus,5/288,25/5923,0.00624800207016137,0.0951901491865762,0.0862727220833428,HLA-C/HLA-A/HLA-B/CPE/HLA-E,5
hsa05020,hsa05020,Prion diseases,5/288,25/5923,0.00624800207016137,0.0951901491865762,0.0862727220833428,HSPA1A/EGR1/SOD1/HSPA5/NCAM2,5
hsa05130,hsa05130,Pathogenic Escherichia coli infection,16/288,167/5923,0.00692528775775303,0.0996471960698909,0.0903122321625103,TUBB2B/RHOA/TUBA1A/BRK1/TMBIM6/TUBB2A/CLDN18/TUBB3/FOS/CDC42/RAC1/TMED10/ARF6/JUN/CLDN7/TUBB4B,16
hsa05418,hsa05418,Fluid shear stress and atherosclerosis,12/288,114/5923,0.00901077784879474,0.122831129623044,0.111324291428323,RHOA/HSP90B1/CYBA/GSTP1/FOS/SUMO2/AKT3/CTSL/RAC1/GSTO1/JUN/DUSP1,12
hsa04723,hsa04723,Retrograde endocannabinoid signaling,12/288,115/5923,0.00963676033224438,0.124796046302565,0.113105134425816,GNG2/NDUFA13/NDUFA11/NDUFB4/NDUFB5/NDUFB1/NDUFA3/NDUFA4L2/NDUFC2/NDUFA6/GNG5/NDUFS5,12
hsa00790,hsa00790,Folate biosynthesis,4/288,19/5923,0.0118865583605378,0.146600886446633,0.132867293954884,PCBD1/TPH1/GGH/AKR1B1,4
hsa05203,hsa05203,Viral carcinogenesis,16/288,178/5923,0.0124614516776624,0.146705272023389,0.132961900675537,HLA-C/HLA-A/HLA-B/RHOA/HIST1H4C/SCIN/CDKN1A/MAD1L1/CDC42/HLA-E/RAC1/HDAC1/HRAS/CHD4/JUN/HIST1H2BK,16
hsa05132,hsa05132,Salmonella infection,17/288,195/5923,0.0135234490151226,0.152285795431163,0.138019639833974,RHOA/HSP90B1/BRK1/PFN2/MYL6/FOS/MYL12B/CDC42/AKT3/RAB7A/DYNLL1/RAC1/RHOB/PFN1/HRAS/ARF6/JUN,17
hsa05330,hsa05330,Allograft rejection,4/288,20/5923,0.0143018350427754,0.154340636503284,0.139881983093812,HLA-C/HLA-A/HLA-B/HLA-E,4
hsa05169,hsa05169,Epstein-Barr virus infection,15/288,169/5923,0.0170028486583427,0.17614951210043,0.159647800034123,B2M/HLA-C/HLA-A/HLA-B/PDIA3/CALR/CDKN1A/PSMD6/AKT3/HLA-E/PSMD7/RAC1/HDAC1/GADD45B/JUN,15
