,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa03010,hsa03010,Ribosome,41/220,131/5923,5.51999766699429e-28,1.30271944941065e-25,1.20277843901876e-25,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/MRPL33/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,41
hsa05012,hsa05012,Parkinson disease,26/220,213/5923,5.92048426670529e-08,6.98617143471225e-06,6.45021180635787e-06,UCHL1/TUBB2B/TUBA1A/TUBB2A/ATP5F1E/TUBB3/PARK7/NDUFB1/SLC25A6/COX4I1/NDUFB4/HSPA5/NDUFA3/NDUFB5/DUSP1/UQCR11/UQCR10/PSMD7/PSMD6/COX6C/NDUFA4L2/UQCRC1/NDUFA6/CAMK2B/TUBB4B/NDUFS5,26
hsa04145,hsa04145,Phagosome,17/220,111/5923,5.38684165562402e-07,4.2376487690909e-05,3.91254814987429e-05,HLA-C/HLA-B/HLA-A/SEC61G/TUBB2B/CALR/TUBA1A/TUBB2A/TUBB3/ATP6AP1/RAC1/LAMP1/RAB7A/ATP6V0E2/CTSL/CYBA/TUBB4B,17
hsa00190,hsa00190,Oxidative phosphorylation,16/220,111/5923,2.69570346078499e-06,0.000159046504186314,0.000146844899048024,ATP5F1E/NDUFB1/ATP6AP1/COX4I1/NDUFB4/ATP5ME/NDUFA3/NDUFB5/UQCR11/UQCR10/COX6C/NDUFA4L2/UQCRC1/NDUFA6/ATP6V0E2/NDUFS5,16
hsa04141,hsa04141,Protein processing in endoplasmic reticulum,19/220,157/5923,4.55051205274685e-06,0.000214784168889651,0.000198306525246021,HSP90B1/PDIA3/SEC61G/CALR/SSR4/HSPA1A/PDIA6/OS9/ERP29/HSPA1B/HSPA6/HSPA5/SVIP/PPP1R15A/RBX1/RPN1/CAPN2/DDOST/DNAJB1,19
hsa04612,hsa04612,Antigen processing and presentation,11/220,57/5923,5.91219515688187e-06,0.000232546342837353,0.000214706034644657,HLA-C/HLA-B/B2M/HLA-A/PDIA3/CALR/HSPA1A/HSPA1B/HSPA6/HSPA5/CTSL,11
hsa04932,hsa04932,Non-alcoholic fatty liver disease (NAFLD),15/220,130/5923,8.31675075617424e-05,0.0028039331120816,0.00258882316771138,NDUFB1/COX4I1/NDUFB4/CDC42/RAC1/NDUFA3/NDUFB5/UQCR11/UQCR10/COX6C/NDUFA4L2/UQCRC1/NDUFA6/JUN/NDUFS5,15
hsa05016,hsa05016,Huntington disease,21/220,232/5923,0.00012439303320858,0.00366959447965312,0.00338807340449686,TUBB2B/TUBA1A/TUBB2A/ATP5F1E/TUBB3/NDUFB1/SLC25A6/COX4I1/NDUFB4/NDUFA3/NDUFB5/UQCR11/UQCR10/COX6C/NDUFA4L2/POLR2H/UQCRC1/NDUFA6/AP2M1/TUBB4B/NDUFS5,21
hsa05010,hsa05010,Alzheimer disease,22/220,277/5923,0.000555865890819899,0.0145760389148329,0.0134578057777449,TUBB2B/TUBA1A/TUBB2A/ATP5F1E/TUBB3/MME/NDUFB1/SLC25A6/COX4I1/NDUFB4/NDUFA3/NDUFB5/UQCR11/UQCR10/COX6C/NDUFA4L2/UQCRC1/NDUFA6/CAPN2/NCSTN/TUBB4B/NDUFS5,22
hsa04714,hsa04714,Thermogenesis,17/220,203/5923,0.00134068383565036,0.0316401385213486,0.0292127951557501,BMP8B/ATP5F1E/NDUFB1/COX4I1/NDUFAF3/NDUFB4/ATP5ME/NDUFA3/NDUFB5/UQCR11/UQCR10/COX6C/NDUFA4L2/UQCRC1/NDUFA6/NPPA/NDUFS5,17
hsa00790,hsa00790,Folate biosynthesis,4/220,19/5923,0.00462386937631634,0.0992030157100596,0.0915924364495198,TPH1/PCBD1/AKR1B1/GGH,4
hsa05130,hsa05130,Pathogenic Escherichia coli infection,13/220,167/5923,0.00890919169423561,0.165226017786788,0.152550337564073,TUBB2B/RHOA/TUBA1A/TUBB2A/CLDN18/TUBB3/TMBIM6/BRK1/FOS/CDC42/RAC1/JUN/TUBB4B,13
hsa03060,hsa03060,Protein export,4/220,23/5923,0.00940502552271091,0.165226017786788,0.152550337564073,SEC61G/SPCS1/HSPA5/SEC11C,4
hsa05169,hsa05169,Epstein-Barr virus infection,13/220,169/5923,0.0098015434280298,0.165226017786788,0.152550337564073,HLA-C/HLA-B/B2M/HLA-A/PDIA3/CALR/RAC1/CDKN1A/GADD45B/PSMD7/PSMD6/JUN/GADD45G,13
hsa04921,hsa04921,Oxytocin signaling pathway,10/220,119/5923,0.0126232116574683,0.187037374020804,0.17268838725382,RHOA/EEF2/FOS/RGS2/CDKN1A/MYL6/CACNA2D1/CAMK2B/JUN/NPPA,10
hsa05020,hsa05020,Prion diseases,4/220,25/5923,0.0126804999336138,0.187037374020804,0.17268838725382,HSPA1A/EGR1/HSPA5/NCAM2,4
hsa05203,hsa05203,Viral carcinogenesis,13/220,178/5923,0.0147148341328592,0.204276520903222,0.188604994767917,HLA-C/HLA-B/HLA-A/RHOA/HIST1H4C/CDC42/SCIN/RAC1/MAD1L1/CDKN1A/YWHAH/YWHAG/JUN,13
hsa05167,hsa05167,Kaposi sarcoma-associated herpesvirus infection,11/220,150/5923,0.0232688766595298,0.305080827313836,0.281675875352203,HLA-C/HLA-B/HLA-A/GNG2/FOS/GABARAPL2/RAC1/CDKN1A/GABARAP/GNB2/JUN,11
hsa04260,hsa04260,Cardiac muscle contraction,6/220,61/5923,0.0248469725251685,0.308625553470514,0.284948659983927,COX4I1/CACNA2D1/UQCR11/UQCR10/COX6C/UQCRC1,6
