,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa03010,hsa03010,Ribosome,74/312,131/5923,1.92430694288036e-62,4.61833666291286e-60,4.45628976245978e-60,RPLP1/RPL41/RPS15/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/FAU/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/RPL26/RPL11/MRPL13/RPS21/RPL37A/MRPL24/RPL23A/MRPL22/MRPL17/MRPL2/MRPL3/MRPS18A/MRPL11/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,74
hsa00190,hsa00190,Oxidative phosphorylation,34/312,111/5923,6.34510324442016e-18,7.6141238933042e-16,7.34696165143387e-16,NDUFS5/NDUFA4L2/COX6A1/ATP6V1F/COX8A/UQCR11/COX7A2/UQCRH/ATP5MC2/COX5B/ATP6V0D1/SDHB/NDUFB2/ATP5MF/NDUFA6/NDUFB11/NDUFB4/NDUFA13/COX7C/COX6C/ATP6V1D/NDUFC2/NDUFB1/NDUFB9/COX5A/ATP5F1B/COX4I1/ATP5MG/COX6B1/NDUFA4/UQCRQ/ATP6V0B/PPA1/ATP5MC3,34
hsa05012,hsa05012,Parkinson disease,42/312,213/5923,2.68758873238529e-14,2.15007098590823e-12,2.07462989868338e-12,RPS27A/NDUFS5/UBA52/NDUFA4L2/COX6A1/COX8A/UQCR11/COX7A2/UQCRH/PSMA7/ATP5MC2/COX5B/TXN/PSMA4/SDHB/NDUFB2/NDUFA6/NDUFB11/NDUFB4/NDUFA13/CALM3/PSMB7/COX7C/COX6C/NDUFC2/NDUFB1/PSMC3/NDUFB9/COX5A/ATP5F1B/COX4I1/UBB/PSMC5/COX6B1/NDUFA4/UQCRQ/PSMD13/ATP5MC3/CALM2/TUBB/TUBA1B/DDIT3,42
hsa04714,hsa04714,Thermogenesis,38/312,203/5923,2.81434686454244e-12,1.68860811872547e-10,1.62935871105089e-10,NDUFS5/RPS6/ACTG1/NDUFA4L2/COX6A1/COX8A/UQCR11/COX7A2/UQCRH/ATP5MC2/COX5B/COA3/NDUFAF3/SDHB/NDUFB2/ATP5MF/NDUFA6/NDUFB11/NDUFB4/COX14/NDUFA13/BMP8B/COX7C/COA6/NPPA/COX6C/ACTB/NDUFC2/NDUFB1/NDUFB9/COX5A/ATP5F1B/COX4I1/ATP5MG/COX6B1/NDUFA4/UQCRQ/ATP5MC3,38
hsa05016,hsa05016,Huntington disease,35/312,232/5923,9.76474265411818e-09,4.23722206313061e-07,4.08854760477515e-07,NDUFS5/NDUFA4L2/COX6A1/COX8A/UQCR11/COX7A2/UQCRH/POLR2G/ATP5MC2/POLR2L/COX5B/SDHB/NDUFB2/GRIA2/NDUFA6/NDUFB11/NDUFB4/NDUFA13/COX7C/COX6C/SOD1/NDUFC2/DCTN2/NDUFB1/NDUFB9/COX5A/ATP5F1B/COX4I1/DNALI1/COX6B1/NDUFA4/UQCRQ/ATP5MC3/TUBB/TUBA1B,35
hsa04932,hsa04932,Non-alcoholic fatty liver disease (NAFLD),25/312,130/5923,1.05930551578265e-08,4.23722206313061e-07,4.08854760477515e-07,NDUFS5/NDUFA4L2/COX6A1/COX8A/UQCR11/COX7A2/UQCRH/COX5B/SDHB/NDUFB2/NDUFA6/NDUFB11/NDUFB4/NDUFA13/COX7C/COX6C/NDUFC2/NDUFB1/NDUFB9/COX5A/COX4I1/COX6B1/NDUFA4/UQCRQ/DDIT3,25
hsa05010,hsa05010,Alzheimer disease,37/312,277/5923,9.89563924525466e-08,3.39279059837302e-06,3.27374531421959e-06,GAPDH/NDUFS5/NDUFA4L2/COX6A1/COX8A/UQCR11/COX7A2/UQCRH/ATP5MC2/COX5B/BAD/NCSTN/SDHB/NDUFB2/NDUFA6/NDUFB11/NDUFB4/NDUFA13/HSD17B10/CALM3/COX7C/COX6C/PSENEN/NDUFC2/NDUFB1/NDUFB9/COX5A/ATP5F1B/COX4I1/COX6B1/NDUFA4/UQCRQ/ATP5MC3/CALM2/TUBB/TUBA1B/DDIT3,37
hsa04141,hsa04141,Protein processing in endoplasmic reticulum,23/312,157/5923,6.35240750740896e-06,0.000190572225222269,0.000183885480477628,SSR4/HSP90AB1/ERP29/LMAN2/HSPA6/CALR/SEC61B/TUSC3/HSPA1B/RPN2/RPN1/SEC13/HSPA1A/DNAJB1/BAG1/PDIA6/PDIA3/SSR2/PDIA4/PRKCSH/HSP90B1/SKP1/DDIT3,23
hsa04260,hsa04260,Cardiac muscle contraction,12/312,61/5923,6.243621022198e-05,0.00166496560591947,0.00160654576009773,COX6A1/COX8A/UQCR11/COX7A2/UQCRH/COX5B/COX7C/COX6C/COX5A/COX4I1/COX6B1/UQCRQ,12
hsa04612,hsa04612,Antigen processing and presentation,11/312,57/5923,0.000151534126195261,0.00363681902868627,0.00350921134346921,B2M/HSP90AB1/HLA-C/HSPA6/CALR/HLA-A/HSPA1B/CTSL/HLA-B/HSPA1A/PDIA3,11
hsa04145,hsa04145,Phagosome,16/312,111/5923,0.000203058483340358,0.00443036690924418,0.00427491543874438,ACTG1/ATP6V1F/HLA-C/CALR/HLA-A/SEC61B/ATP6V0D1/RAB7A/CTSL/HLA-B/ATP6V1D/ACTB/ATP6V0B/TUBB/TUBA1B/DYNC1H1,16
hsa05110,hsa05110,Vibrio cholerae infection,9/312,46/5923,0.000543803482244422,0.0108760696448884,0.0104944531661204,ACTG1/ATP6V1F/SEC61B/ATP6V0D1/ATP6V1D/ACTB/KDELR2/PDIA4/ATP6V0B,9
hsa03040,hsa03040,Spliceosome,16/312,130/5923,0.00121714435924413,0.0224703574014301,0.0216819238083975,SNRPB/HSPA6/SF3B5/HNRNPA1/HSPA1B/SNU13/PUF60/HSPA1A/HNRNPU/SNRPD2/MAGOH/LSM6/SYF2/LSM7/SRSF7/SF3B1,16
hsa04978,hsa04978,Mineral absorption,8/312,42/5923,0.00132760672195046,0.0227589723762937,0.0219604119420378,FTH1/FTL/MT1G/MT1E/ATOX1/MT1F/MT2A/MT1X,8
hsa03060,hsa03060,Protein export,5/312,23/5923,0.00602518692680918,0.0890430560943826,0.0859187383366849,SEC11C/SPCS1/SEC61B/SEC11A/SRP14,5
hsa03050,hsa03050,Proteasome,7/312,43/5923,0.00658696236252932,0.0890430560943826,0.0859187383366849,PSMA7/PSMA4/PSMB8/PSMB7/PSMC3/PSMC5/PSMD13,7
hsa05418,hsa05418,Fluid shear stress and atherosclerosis,13/312,114/5923,0.00661076979669398,0.0890430560943826,0.0859187383366849,ACTG1/GSTP1/HSP90AB1/RHOA/TXN/MGST2/CTSL/CALM3/SUMO2/ACTB/HSP90B1/CALM2/GSTO1,13
hsa05132,hsa05132,Salmonella infection,19/312,195/5923,0.00667822920707869,0.0890430560943826,0.0859187383366849,GAPDH/ACTG1/RPS3/BRK1/HSP90AB1/RHOA/TXN/DYNLT1/MYL12B/RAB7A/MYL6/PFN1/ARPC5/DYNLL1/MYL12A/ACTB/HSP90B1/SKP1/DYNC1H1,19
hsa04723,hsa04723,Retrograde endocannabinoid signaling,13/312,115/5923,0.00711033293106676,0.0898147317608433,0.0866633376639716,NDUFS5/NDUFA4L2/GNG5/NDUFB2/GRIA2/NDUFA6/NDUFB11/NDUFB4/NDUFA13/NDUFC2/NDUFB1/NDUFB9/NDUFA4,13
hsa00980,hsa00980,Metabolism of xenobiotics by cytochrome P450,5/312,27/5923,0.0121675916259615,0.146011099511537,0.140887903037448,GSTP1/MGST2/EPHX1/AKR7A2/GSTO1,5
hsa04915,hsa04915,Estrogen signaling pathway,10/312,111/5923,0.0665339188103571,0.760387643546938,0.733707375352308,HSP90AB1/HSPA6/HSPA1B/KRT18/HSPA1A/CALM3/KRT19/HSP90B1/CALM2/KRT12,10
hsa05416,hsa05416,Viral myocarditis,5/312,43/5923,0.073615060706439,0.775924262066983,0.748698849362878,ACTG1/HLA-C/HLA-A/HLA-B/ACTB,5
hsa03020,hsa03020,RNA polymerase,4/312,31/5923,0.0775924262066983,0.775924262066983,0.748698849362878,POLR2G/POLR2L/ZNRD1/POLR1D,4
hsa05204,hsa05204,Chemical carcinogenesis,4/312,31/5923,0.0775924262066983,0.775924262066983,0.748698849362878,GSTP1/MGST2/EPHX1/GSTO1,4
hsa05330,hsa05330,Allograft rejection,3/312,20/5923,0.0850094059755574,0.816090297365351,0.787455550089374,HLA-C/HLA-A/HLA-B,3
hsa05170,hsa05170,Human immunodeficiency virus 1 infection,14/312,179/5923,0.0884682770411338,0.816474792048101,0.787826553730624,B2M/HLA-C/CALR/GNG5/HLA-A/BAD/HLA-B/CALM3/PDIA3/CFL1/ELOB/RNF7/SKP1/CALM2,14
hsa01200,hsa01200,Carbon metabolism,9/312,103/5923,0.0918534141054113,0.816474792048101,0.787826553730624,GAPDH/TPI1/SUCLG1/PGLS/PDHB/SDHB/ESD/SHMT2/TKT,9
