,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1799339,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,39/230,108/8183,8.75339635734181e-34,6.15363763921129e-31,5.1967532058324e-31,RPS21/RPL13/RPS27/RPS29/SEC61G/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/SSR4/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/SPCS1/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14/RPN1/SEC11C,39
R-HSA-156842,R-HSA-156842,Eukaryotic Translation Elongation,36/230,89/8183,2.57069385944923e-33,9.03598891596403e-31,7.63090177225981e-31,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/EEF2/EEF1A2/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,36
R-HSA-156902,R-HSA-156902,Peptide chain elongation,35/230,85/8183,9.9048567520429e-33,2.32103809889539e-30,1.96011902040428e-30,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/EEF2/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,35
R-HSA-192823,R-HSA-192823,Viral mRNA Translation,34/230,85/8183,2.74613295721655e-31,4.82632867230808e-29,4.07583944176351e-29,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,34
R-HSA-2408557,R-HSA-2408557,Selenocysteine synthesis,34/230,89/8183,1.78767605627493e-30,2.09456044593546e-28,1.7688584135773e-28,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,34
R-HSA-72764,R-HSA-72764,Eukaryotic Translation Termination,34/230,89/8183,1.78767605627493e-30,2.09456044593546e-28,1.7688584135773e-28,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,34
R-HSA-72689,R-HSA-72689,Formation of a pool of free 40S subunits,35/230,97/8183,2.460254012655e-30,2.47079795842352e-28,2.08659137313898e-28,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14/EIF3L,35
R-HSA-975956,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),34/230,91/8183,4.37381025371195e-30,3.84348576044937e-28,3.2458276093336e-28,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14,34
R-HSA-156827,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,36/230,107/8183,6.27886277268785e-30,4.9044894768884e-28,4.14184632022918e-28,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/EIF4A2/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14/EIF3L,36
R-HSA-72706,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,36/230,108/8183,9.19850404110083e-30,6.46654834089389e-28,5.46100660966408e-28,RPS21/RPL13/RPS27/RPS29/RPS2/RPL37A/RPS28/RPL38/EIF4A2/RPL3/RPL15/RPL37/RPL24/RPL29/RPL14/RPS18/RPL36/RPL39/RPL32/RPSA/RPL34/RPS19/RPL36A/RPL35A/RPLP0/RPS5/RPL27/RPS4Y1/RPS3/RPLP1/RPL18A/RPL41/RPL27A/RPS13/RPS14/EIF3L,36
