,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1799339,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,52/331,108/8183,2.09186245370429e-44,1.97053443138944e-41,1.57440174147217e-41,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/SSR4/RPL29/RPS28/RPL3/RPL14/RPL26/SEC61G/RPL24/RPS29/RPL36/RPL34/SPCS1/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/SEC11C/RPL41/RPL21/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPN1/RPS15A/SEC11A/DDOST/SRP9/RPL4/RPS9/RPS20/RPS14/RPLP1,52
R-HSA-156902,R-HSA-156902,Peptide chain elongation,45/331,85/8183,7.14118270567402e-41,3.36349705437246e-38,2.68733980766154e-38,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/EEF2/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,45
R-HSA-156842,R-HSA-156842,Eukaryotic Translation Elongation,45/331,89/8183,1.11600674810736e-39,2.62819589179284e-37,2.0998548023599e-37,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/EEF2/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,45
R-HSA-72764,R-HSA-72764,Eukaryotic Translation Termination,45/331,89/8183,1.11600674810736e-39,2.62819589179284e-37,2.0998548023599e-37,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/TRMT112/RPLP1,45
R-HSA-192823,R-HSA-192823,Viral mRNA Translation,44/331,85/8183,2.13704546785812e-39,4.02619366144469e-37,3.21681580951274e-37,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,44
R-HSA-2408557,R-HSA-2408557,Selenocysteine synthesis,44/331,89/8183,3.04157880801781e-38,4.77527872858796e-36,3.81531376795216e-36,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,44
R-HSA-156827,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,47/331,107/8183,8.69785389712519e-38,1.1704826244417e-35,9.35182787435265e-36,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/EIF4A2/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/EIF3L/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/EIF4A1/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,47
R-HSA-975956,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),44/331,91/8183,1.07375878658345e-37,1.26435097120201e-35,1.01018096369364e-35,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,44
R-HSA-72706,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,47/331,108/8183,1.48698244280908e-37,1.52392124435964e-35,1.21757033156458e-35,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/EIF4A2/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/EIF3L/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/EIF4A1/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,47
R-HSA-72689,R-HSA-72689,Formation of a pool of free 40S subunits,45/331,97/8183,1.6177507901907e-37,1.52392124435964e-35,1.21757033156458e-35,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/EIF3L/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,45
R-HSA-72613,R-HSA-72613,Eukaryotic Translation Initiation,47/331,115/8183,5.25953801593627e-36,4.12873734250998e-34,3.29874533455652e-34,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/EIF4A2/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/EIF3L/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/EIF4A1/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,47
R-HSA-72737,R-HSA-72737,Cap-dependent Translation Initiation,47/331,115/8183,5.25953801593627e-36,4.12873734250998e-34,3.29874533455652e-34,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/EIF4A2/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/EIF3L/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/EIF4A1/RPL17/RPL28/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1,47
R-HSA-2408522,R-HSA-2408522,Selenoamino acid metabolism,46/331,113/8183,3.7650313816815e-35,2.72819966272613e-33,2.17975501044718e-33,RPS21/RPL37A/RPL36A/RPS10/RPS27/RPL13/RPL37/RPL38/RPL15/RPL29/RPS28/RPL3/RPL14/RPL26/RPL24/RPS29/RPL36/RPL34/RPL32/RPL27/RPLP2/RPS19/RPL39/RPS18/RPSA/RPS17/RPL35/RPL27A/RPS16/RPL31/RPL41/RPL21/RPL17/RPL28/EEF1E1/RPL22L1/RPS26/RPS23/RPS25/RPS15A/RPL4/RPS9/RPS20/RPS14/RPLP1/EPRS,46
