,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1799339,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,46/249,108/8183,3.76306169910442e-42,2.90508363170861e-39,2.42420395773885e-39,RPL37/SEC61G/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/SSR4/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/SPCS1/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/SEC11C/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPN1/RPS14/RPS17/DDOST/RPL22L1,46
R-HSA-156902,R-HSA-156902,Peptide chain elongation,41/249,85/8183,2.29448723171645e-40,8.85672071442552e-38,7.39066413584458e-38,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/EEF2/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,41
R-HSA-156842,R-HSA-156842,Eukaryotic Translation Elongation,41/249,89/8183,2.60124852774193e-39,6.69387954472257e-37,5.58583894378267e-37,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/EEF2/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,41
R-HSA-192823,R-HSA-192823,Viral mRNA Translation,40/249,85/8183,7.90383660496953e-39,1.52544046475912e-36,1.27293368480036e-36,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,40
R-HSA-156827,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,43/249,107/8183,4.59093020484294e-38,7.0883962362775e-36,5.91505112708185e-36,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/EIF4A2/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/EIF3L/RPL28/RPLP0/RPL26/EIF4A1/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,43
R-HSA-72706,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,43/249,108/8183,7.43805838939999e-38,7.93766225916805e-36,6.62373780012387e-36,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/EIF4A2/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/EIF3L/RPL28/RPLP0/RPL26/EIF4A1/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,43
R-HSA-2408557,R-HSA-2408557,Selenocysteine synthesis,40/249,89/8183,8.22555674525187e-38,7.93766225916805e-36,6.62373780012387e-36,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,40
R-HSA-72764,R-HSA-72764,Eukaryotic Translation Termination,40/249,89/8183,8.22555674525187e-38,7.93766225916805e-36,6.62373780012387e-36,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,40
R-HSA-72689,R-HSA-72689,Formation of a pool of free 40S subunits,41/249,97/8183,2.15995797280968e-37,1.85276395001008e-35,1.54607518053745e-35,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/EIF3L/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,41
R-HSA-975956,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),40/249,91/8183,2.51053926559553e-37,1.93813631303975e-35,1.61731582162575e-35,RPL37/RPL37A/RPS29/RPL13/RPS27/RPS21/RPL38/RPS28/RPL36A/RPL15/RPL3/RPL29/RPL24/RPL14/RPS10/RPL36/RPS18/RPL34/RPL39/RPL32/RPS19/RPSA/RPL27/RPLP2/RPS2/RPL27A/RPL35/RPL41/RPL35A/RPL28/RPLP0/RPL26/RPS16/RPLP1/RPS4Y1/RPS23/RPS5/RPS14/RPS17/RPL22L1,40
