,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1799339,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,74/379,108/8183,4.60586462728722e-75,4.27424237412254e-72,3.04471893256461e-72,RPLP1/RPL41/RPS15/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/SEC11C/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/SSR4/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/SPCS1/RPL26/RPL11/SEC61B/RPS21/RPL37A/RPN2/RPN1/RPL23A/SEC11A/RPL27/RPL7/RPL37/SRP14/SSR2/RPS11/RPL21/RPS27/RPL31/RPS25,74
R-HSA-156902,R-HSA-156902,Peptide chain elongation,66/379,85/8183,5.59560008153645e-73,2.59635843783291e-70,1.84949307958152e-70,RPLP1/RPL41/RPS15/EEF1A1/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/RPL26/RPL11/RPS21/RPL37A/RPL23A/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,66
R-HSA-156842,R-HSA-156842,Eukaryotic Translation Elongation,67/379,89/8183,1.82239758837206e-72,5.63728320669756e-70,4.01566907192158e-70,RPLP1/RPL41/RPS15/EEF1A1/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/EEF1B2/RPL22/RPL13/RPL35/RPL26/RPL11/RPS21/RPL37A/RPL23A/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,67
R-HSA-192823,R-HSA-192823,Viral mRNA Translation,65/379,85/8183,4.58195186866035e-71,1.0630128335292e-68,7.572278351365e-69,RPLP1/RPL41/RPS15/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/RPL26/RPL11/RPS21/RPL37A/RPL23A/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,65
R-HSA-72764,R-HSA-72764,Eukaryotic Translation Termination,66/379,89/8183,1.32100749720583e-70,2.45178991481402e-68,1.74651096472687e-68,RPLP1/RPL41/RPS15/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/RPL26/TRMT112/RPL11/RPS21/RPL37A/RPL23A/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,66
R-HSA-2408557,R-HSA-2408557,Selenocysteine synthesis,65/379,89/8183,9.01001033359602e-69,1.39354826492952e-66,9.92681840262859e-67,RPLP1/RPL41/RPS15/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/RPL26/RPL11/RPS21/RPL37A/RPL23A/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,65
R-HSA-975956,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),65/379,91/8183,1.05018774560202e-67,1.39224889702668e-65,9.9175624697454e-66,RPLP1/RPL41/RPS15/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/RPL26/RPL11/RPS21/RPL37A/RPL23A/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,65
R-HSA-72689,R-HSA-72689,Formation of a pool of free 40S subunits,66/379,97/8183,1.77365947529227e-66,2.05744499133903e-64,1.46560282958361e-64,RPLP1/RPL41/RPS15/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/RPL26/EIF3E/RPL11/RPS21/RPL37A/RPL23A/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,66
R-HSA-156827,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,66/379,107/8183,3.76812333003648e-62,3.88535383363762e-60,2.76769760381627e-60,RPLP1/RPL41/RPS15/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/RPL26/EIF3E/RPL11/RPS21/RPL37A/RPL23A/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,66
R-HSA-72706,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,66/379,108/8183,9.31969897061685e-62,8.64868064473244e-60,6.16081153004988e-60,RPLP1/RPL41/RPS15/RPS18/RPS3A/RPS4X/RPLP0/RPS8/RPS27A/RPL10/RPS14/RPL8/RPL19/RPS12/RPL28/RPL18/RPS13/RPL15/RPS23/RPS19/RPL7A/RPL29/RPS15A/RPS5/RPL32/RPS28/RPL18A/RPSA/RPS6/RPL6/RPS9/RPL14/RPS7/UBA52/RPL39/RPL12/RPL30/RPS24/RPL24/RPS26/RPL5/RPS3/RPL9/RPL35A/RPS16/RPL10A/RPL36/RPLP2/RPL3/RPL22/RPL13/RPL35/RPL26/EIF3E/RPL11/RPS21/RPL37A/RPL23A/RPL27/RPL7/RPL37/RPS11/RPL21/RPS27/RPL31/RPS25,66
